team1,seed1,team2,seed2,PPG_diff,PPG_Allowed_diff,Pace_diff,MOV_diff,SOS_diff,OSRS_diff,DSRS_diff,Adj_ORtg_diff,Adj_DRtg_diff,region1,region2
Duke,1,Mississippi State,8,2.9000000000000057,-12.300000000000004,-1.6000000000000085,15.18,-2.3999999999999986,2.539999999999999,10.25,9.539999999999992,-9.909999999999997,east,east
Duke,1,Oregon,5,6.5,-9.000000000000007,-1.2000000000000028,15.52,-2.629999999999999,5.039999999999999,7.859999999999999,11.980000000000004,-7.6499999999999915,east,east
Duke,1,Arizona,4,1,-10.500000000000007,-6.200000000000003,11.5,-4.289999999999999,-2.09,9.309999999999999,5.709999999999994,-5.950000000000003,east,east
Duke,1,BYU,6,1.7000000000000028,-9.000000000000007,-2.8000000000000114,10.7,-0.129999999999999,0.46999999999999886,10.11,5.810000000000002,-10.36,east,east
Duke,1,Wisconsin,3,3,-8.500000000000007,1.0999999999999943,11.5,-2.0999999999999996,1.9499999999999993,7.459999999999999,7.010000000000005,-7.6499999999999915,east,east
Duke,1,Saint Mary's,7,9.200000000000003,1.1999999999999957,3.299999999999997,7.9399999999999995,3.7700000000000005,12.579999999999998,-0.010000000000001563,13.030000000000001,-4.329999999999998,east,east
Duke,1,Alabama,2,-8.399999999999991,-19.500000000000007,-6.800000000000011,11.09,-6.800000000000001,-10.690000000000001,14.989999999999998,2.289999999999992,-6.5,east,east
Duke,1,Houston,1,8.5,3.3999999999999986,3,5.049999999999999,-3.16,6.589999999999999,-4.690000000000001,4.730000000000004,3.3599999999999994,east,midwest
Duke,1,Gonzaga,8,-3.8999999999999915,-7.699999999999996,-2.700000000000003,3.789999999999999,2.920000000000001,-3.2200000000000024,9.939999999999998,5.230000000000004,-6.189999999999998,east,midwest
Duke,1,Clemson,5,6.400000000000006,-3.8000000000000043,-0.7000000000000028,10.12,1.7100000000000009,6.9799999999999995,4.859999999999999,9.64,-7.170000000000002,east,midwest
Duke,1,Purdue,4,4.799999999999997,-9.199999999999996,-1.2000000000000028,14,-4.359999999999999,3.3299999999999983,6.3199999999999985,3.8400000000000034,-10.920000000000002,east,midwest
Duke,1,Illinois,6,-1.0999999999999943,-12.699999999999996,-3,11.579999999999998,-2.9399999999999995,-3.0199999999999996,11.659999999999998,6.769999999999996,-7.6499999999999915,east,midwest
Duke,1,Kentucky,3,-2.5999999999999943,-16.000000000000007,-6.800000000000011,13.37,-4.66,-3.780000000000001,12.489999999999998,4.25,-9.980000000000004,east,midwest
Duke,1,UCLA,7,7.900000000000006,-3.8000000000000043,2.299999999999997,11.76,-0.6399999999999988,8.16,2.959999999999999,10.519999999999996,-6.239999999999995,east,midwest
Duke,1,Tennessee,2,8,-1.1000000000000014,-3.200000000000003,9.079999999999998,-3.619999999999999,7.6899999999999995,-2.2200000000000024,8.989999999999995,0.6800000000000068,east,midwest
Duke,1,Auburn,1,-1.0999999999999943,-7.699999999999996,-3.8000000000000114,6.549999999999999,-5.84,-3.9200000000000017,4.639999999999999,-0.5099999999999909,-3.239999999999995,east,south
Duke,1,Louisville,8,4.1000000000000085,-7.000000000000007,-3.3000000000000114,11.11,-0.09999999999999964,3.289999999999999,7.729999999999999,10.5,-6.579999999999998,east,south
Duke,1,Michigan,5,4.400000000000006,-9.300000000000004,-1.8000000000000114,13.759999999999998,-3.59,2.4099999999999984,7.77,12.090000000000003,-4.390000000000001,east,south
Duke,1,Texas A&M,4,8.400000000000006,-6.000000000000007,-0.7000000000000028,14.41,-4.129999999999999,6.749999999999999,3.539999999999999,12.14,-3.1899999999999977,east,south
Duke,1,Ole Miss,6,5.5,-9.800000000000004,-1.5,15.34,-2.9399999999999995,4.309999999999999,8.089999999999998,11.549999999999997,-7.200000000000003,east,south
Duke,1,Iowa State,3,2.299999999999997,-6.199999999999996,-0.8000000000000114,8.489999999999998,-1.1899999999999995,1.4799999999999986,5.829999999999998,8.870000000000005,-2.8799999999999955,east,south
Duke,1,Marquette,7,5.799999999999997,-6.600000000000001,-2.3000000000000114,12.459999999999999,-0.9699999999999989,4.229999999999999,7.27,10.599999999999994,-6.929999999999993,east,south
Duke,1,Michigan State,2,4.5,-5.300000000000004,0.6999999999999886,9.879999999999999,-2.0299999999999994,4.079999999999998,3.7799999999999994,9.840000000000003,-2.719999999999999,east,south
Duke,1,Florida,1,-2.700000000000003,-7.300000000000004,-6,4.609999999999999,-2.289999999999999,-3.7600000000000016,6.089999999999998,2.0600000000000023,-3.1200000000000045,east,west
Duke,1,UConn,8,5.299999999999997,-6.100000000000001,1.0999999999999943,11.43,1.1100000000000012,5.27,7.27,6.539999999999992,-12.099999999999994,east,west
Duke,1,Memphis,5,2.6000000000000085,-11.300000000000004,-4.900000000000006,13.879999999999999,3.8400000000000007,4.659999999999998,13.069999999999999,15.810000000000002,-10.760000000000005,east,west
Duke,1,Maryland,4,1,-5.100000000000001,0.7999999999999972,6.119999999999999,0.7000000000000011,1.5099999999999998,5.3199999999999985,9.420000000000002,-2.6200000000000045,east,west
Duke,1,Missouri,6,-1.7999999999999972,-11.899999999999999,-1.3000000000000114,10.18,-0.2699999999999996,-1.1900000000000013,11.11,3.6299999999999955,-11.950000000000003,east,west
Duke,1,Texas Tech,3,1.7999999999999972,-5.699999999999996,-0.10000000000000853,7.459999999999999,-1.0199999999999996,0.46999999999999886,5.969999999999999,2.5,-6.840000000000003,east,west
Duke,1,Kansas,7,6.5,-7.399999999999999,-2.8000000000000114,13.849999999999998,-4.25,4.1,5.509999999999998,11.760000000000005,-2.6400000000000006,east,west
