"","seed1","team1","seed2","team2","score1","score2","winner","region","year"
"131",6,"Kentucky",11,"Princeton",62,69,"Princeton","region1",2022
"132",3,"Indiana",14,"Charlotte",85,51,"Indiana","region1",2022
"133",7,"UCF",10,"Florida",69,52,"UCF","region1",2022
"134",2,"UConn",15,"Mercer",83,38,"UConn","region1",2022
"135",1,"NC State",9,"Kansas State",89,57,"NC State","region1",2022
"136",5,"Notre Dame",4,"Oklahoma",108,64,"Notre Dame","region1",2022
"137",11,"Princeton",3,"Indiana",55,56,"Indiana","region1",2022
"138",7,"UCF",2,"UConn",47,52,"UConn","region1",2022
"139",1,"NC State",5,"Notre Dame",66,63,"NC State","region1",2022
"140",3,"Indiana",14,"Charlotte",85,51,"Indiana","region1",2022
"141",1,"NC State",2,"UConn",87,91,"UConn","region1",2022
"142",1,"South Carolina",16,"Howard",79,21,"South Carolina","region2",2022
"143",8,"Miami (FL)",9,"South Florida",78,66,"Miami (FL)","region2",2022
"144",5,"UNC",12,"Stephen F. Austin",79,66,"UNC","region2",2022
"145",4,"Arizona",13,"UNLV",72,67,"Arizona","region2",2022
"146",6,"Georgia",11,"Dayton",70,54,"Georgia","region2",2022
"147",3,"Iowa State",14,"UT Arlington",78,71,"Iowa State","region2",2022
"148",7,"Colorado",10,"Creighton",74,84,"Creighton","region2",2022
"149",2,"Iowa",15,"Illinois State",98,58,"Iowa","region2",2022
"150",1,"South Carolina",8,"Miami (FL)",49,33,"South Carolina","region2",2022
"151",5,"UNC",4,"Arizona",63,45,"UNC","region2",2022
"152",6,"Georgia",3,"Iowa State",44,67,"Iowa State","region2",2022
"153",10,"Creighton",2,"Iowa",64,62,"Creighton","region2",2022
"154",1,"South Carolina",5,"UNC",69,61,"South Carolina","region2",2022
"155",3,"Iowa State",10,"Creighton",68,76,"Creighton","region2",2022
"156",1,"South Carolina",10,"Creighton",80,50,"South Carolina","region2",2022
"157",1,"Stanford",16,"Montana State",78,37,"Stanford","region3",2022
"158",8,"Kansas",9,"Georgia Tech",77,58,"Kansas","region3",2022
"159",5,"Virginia Tech",12,"Florida Gulf Coast",81,84,"Florida Gulf Coast","region3",2022
"160",4,"Maryland",13,"Delaware",102,71,"Maryland","region3",2022
"161",6,"Ohio State",11,"Missouri State",63,56,"Ohio State","region3",2022
"162",3,"LSU",14,"Jackson State",83,77,"LSU","region3",2022
"163",7,"Utah",10,"Arkansas",92,69,"Utah","region3",2022
"164",2,"Texas",15,"Fairfield",70,52,"Texas","region3",2022
"165",1,"Stanford",8,"Kansas",91,65,"Stanford","region3",2022
"166",12,"Florida Gulf Coast",4,"Maryland",65,89,"Maryland","region3",2022
"167",6,"Ohio State",3,"LSU",79,64,"Ohio State","region3",2022
"168",7,"Utah",2,"Texas",56,78,"Texas","region3",2022
"169",1,"Stanford",4,"Maryland",72,66,"Stanford","region3",2022
"170",6,"Ohio State",2,"Texas",63,66,"Texas","region3",2022
"171",1,"Stanford",2,"Texas",59,50,"Stanford","region3",2022
"172",1,"Louisville",16,"Albany (NY)",83,51,"Louisville","region4",2022
"173",8,"Nebraska",9,"Gonzaga",55,68,"Gonzaga","region4",2022
"174",5,"Oregon",12,"Belmont",70,73,"Belmont","region4",2022
"175",4,"Tennessee",13,"Buffalo",80,67,"Tennessee","region4",2022
"176",6,"BYU",11,"Villanova",57,61,"Villanova","region4",2022
"177",3,"Michigan",14,"American",74,39,"Michigan","region4",2022
"178",7,"Ole Miss",10,"South Dakota",61,75,"South Dakota","region4",2022
"179",2,"Baylor",15,"Hawaii",89,49,"Baylor","region4",2022
"180",1,"Louisville",9,"Gonzaga",68,59,"Louisville","region4",2022
"181",12,"Belmont",4,"Tennessee",67,70,"Tennessee","region4",2022
"182",11,"Villanova",3,"Michigan",49,64,"Michigan","region4",2022
"183",10,"South Dakota",2,"Baylor",61,47,"South Dakota","region4",2022
"184",1,"Louisville",4,"Tennessee",76,64,"Louisville","region4",2022
"185",3,"Michigan",10,"South Dakota",52,49,"Michigan","region4",2022
"186",1,"Louisville",3,"Michigan",62,50,"Louisville","region4",2022
"187",1,"South Carolina",1,"Louisville",72,59,"South Carolina","final four",2022
"188",1,"Stanford",2,"UConn",58,63,"UConn","final four",2022
"189",1,"South Carolina",2,"UConn",64,49,"South Carolina","championship",2022
"190",1,"Louisville",16,"Robert Morris",69,34,"Louisville","region1",2019
"191",8,"Michigan",9,"Kansas State",84,54,"Michigan","region1",2019
"192",5,"Gonzaga",12,"Little Rock",68,51,"Gonzaga","region1",2019
"193",4,"Oregon State",13,"Boise State",80,75,"Oregon State","region1",2019
"194",6,"UCLA",11,"Tennessee",89,77,"UCLA","region1",2019
"195",3,"Maryland",14,"Radford",73,51,"Maryland","region1",2019
"196",7,"Rutgers",10,"Buffalo",71,82,"Buffalo","region1",2019
"197",2,"UConn",15,"Towson",110,61,"UConn","region1",2019
"198",1,"Louisville",8,"Michigan",71,50,"Louisville","region1",2019
"199",5,"Gonzaga",4,"Oregon State",70,76,"Oregon State","region1",2019
"200",6,"UCLA",3,"Maryland",85,80,"UCLA","region1",2019
"201",10,"Buffalo",2,"UConn",72,84,"UConn","region1",2019
"202",1,"Louisville",4,"Oregon State",61,44,"Louisville","region1",2019
"203",6,"UCLA",2,"UConn",61,69,"UConn","region1",2019
"204",1,"Louisville",2,"UConn",73,80,"UConn","region1",2019
"205",1,"Notre Dame",16,"Bethune-Cookman",92,50,"Notre Dame","region2",2019
"206",8,"Central Michigan",9,"Michigan State",87,88,"Michigan State","region2",2019
