"","School","Conf","W","L","PPG","PPG_Allowed","Pace","MOV","SOS","OSRS","DSRS","Adj_ORtg","Adj_DRtg","year"
"737","Duke","ACC",22,12,68.2,57.9,71.2,10.32,17.25,10.02,17.55,106.7,69.53,2022
"738","West Virginia","Big 12",25,8,73.7,57.8,74.5,15.85,11.67,13.54,13.98,107.91,71.61,2022
"739","Virginia Tech","ACC",25,8,75.2,61.7,69,13.48,13.4,15.29,11.59,115.94,79.24,2022
"740","Michigan State","Big Ten",22,9,82.8,67,71.2,15.77,10.91,20.65,6.04,116.3,81.28,2022
"741","Gonzaga","WCC",32,4,80,60.3,65.4,19.67,6.64,17.97,8.33,119.17,82.28,2022
"742","Louisville","ACC",24,10,73.4,63.3,70.5,10.09,14.48,14.18,10.39,111.6,78.32,2022
"743","Tennessee","SEC",20,13,76.3,69.7,74.9,6.58,17.97,17.87,6.68,112.23,80.01,2022
"744","Penn State","Big Ten",22,13,82.7,71.8,75.4,10.91,12.65,22.4,1.16,112.41,81.94,2022
"745","Oklahoma","Big 12",23,10,76.5,69.1,83.4,7.36,15.85,18.36,4.85,107.33,76.94,2022
"746","Creighton","Big East",26,6,73.4,62.8,69.2,10.59,12.53,14.72,8.4,114.53,82.61,2022
"747","Iowa State","Big 12",21,12,75.4,69.1,71.9,6.24,16.7,16.35,6.59,112.52,81.94,2022
"748","Nebraska","Big Ten",23,12,72.4,64.2,73.5,8.2,14.64,12.43,10.41,108.65,77.42,2022
"749","Maryland","Big Ten",19,14,77.9,73.3,73.7,4.64,17.97,18.54,4.06,109.79,80.39,2022
"750","Washington State","Pac-12",21,15,69.1,61.8,68,7.31,14.57,10.26,11.62,108.25,78.62,2022
"751","Alabama","SEC",24,10,73.1,62.2,72.6,10.94,10.84,11.9,9.88,108.02,78.64,2022
"752","Ole Miss","SEC",24,9,68.5,59.4,70.9,9.12,12.19,7.79,13.52,103.18,74.43,2022
"753","Texas A&M","SEC",19,13,68.4,58.7,72.6,9.66,11.6,7.72,13.54,102.95,74.28,2022
"754","Arizona","Pac-12",18,16,69.9,65.8,68,4.09,17.17,12.64,8.61,106.01,77.07,2022
"755","UNC","ACC",20,13,67.8,62.5,74.3,5.27,15.69,9.52,11.44,104.49,76.16,2022
"756","Kansas","Big 12",20,13,68.2,64.3,76.8,3.88,16.46,10.53,9.81,108.47,80.54,2022
"757","Mississippi State","SEC",23,12,75.6,65.8,71.7,9.86,10.19,14.87,5.19,111.24,84.64,2022
"758","Auburn","SEC",20,12,66.4,58.8,72.6,7.56,12.35,6.2,13.71,97.75,71.74,2022
"759","Florida State","ACC",23,11,78.5,71.5,70.6,7.06,12.79,18.8,1.05,107.16,81.22,2022
"760","Syracuse","ACC",24,8,74,65.7,78,8.34,11.34,13.2,6.48,108.42,82.39,2022
"761","UNLV","MWC",30,3,79,59.1,73.2,19.97,-0.34,13.71,5.93,111.1,83.59,2022
"762","Illinois","Big Ten",19,15,74.5,67.5,74.3,7.03,12.48,13.13,6.38,110.45,83.91,2022
"763","Michigan","Big Ten",20,14,70,64.3,70.4,5.71,13.39,8.68,10.42,105.27,79.93,2022
"764","Marquette","Big East",23,9,69.6,59.5,70.3,10.13,8.85,9.03,9.95,103.6,78.28,2022
"765","Washington","Pac-12",16,15,64.2,59,65,5.16,13.48,5.23,13.42,103.68,78.12,2022
"766","TCU","Big 12",21,12,69.5,60.9,74.6,8.61,10.47,7.6,10.55,106.66,81.97,2022
"767","Miami (FL)","ACC",19,12,66.6,60.4,70.4,6.29,11.11,5.98,11.42,102.59,78.75,2022
"768","Villanova","Big East",22,13,64.8,59.6,68.9,5.2,12.07,6,11.27,104.51,80.38,2022
"769","Princeton","Ivy",25,5,69.2,56.2,69.7,12.97,4.13,6.45,10.65,106.19,81.28,2022
"770","Oklahoma State","Big 12",14,16,69,66.4,72.1,2.53,14.47,9.67,7.33,105.5,82.51,2022
"771","Middle Tennessee","CUSA",30,5,71.4,55.5,68.9,15.86,0.87,5.38,11.35,106.23,81.66,2022
"772","Vanderbilt","SEC",23,10,68.5,62.3,70.2,6.15,10.27,7.31,9.11,101.96,79.96,2022
"773","California","Pac-12",19,15,66.2,65.3,69.7,0.85,14.88,8.6,7.13,105.42,83.87,2022
"774","Virginia","ACC",16,16,72.5,69.1,70.7,3.34,12.26,12.93,2.67,104.25,83.78,2022
"775","Florida","SEC",16,16,74.7,71.3,75.6,3.34,12.01,14.05,1.31,105.52,84.63,2022
"776","Columbia","Ivy",23,7,75.7,63.5,73.5,12.2,2.19,12.69,1.7,109.62,89.84,2022
"777","Green Bay","Horizon",27,7,73.9,58.1,66.4,15.74,-0.81,6.13,8.09,108.33,86.76,2022
"778","Florida Gulf Coast","A-Sun",29,5,74.9,55,69.5,19.85,-2.61,6.19,7.9,105.72,84.8,2022
"779","Minnesota","Big Ten",20,16,69.5,66.1,72.3,3.39,10.64,5.82,8.21,100.85,82.81,2022
"780","Richmond","A-10",29,6,73.1,61,72.7,12.09,1.88,9.81,4.15,107.25,87.31,2022
"781","Seton Hall","Big East",17,15,64.4,59.7,71.7,4.69,8.78,4.24,9.23,99.8,81.15,2022
"782","Purdue","Big Ten",15,19,68.2,68.3,73.2,-0.09,13.38,7.43,5.86,101.15,83.78,2022
"783","South Dakota State","Summit",27,6,73.6,60.2,68.2,13.42,0.47,5.43,7.75,101.4,82.64,2022
"784","Texas Tech","Big 12",17,16,64.9,62.8,71,2.03,11.03,4.81,8.26,100.39,83.18,2022
"785","Drake","MVC",29,6,81.2,70,73.7,11.23,1.77,14.43,-1.43,105.02,88.09,2022
"786","Arkansas","SEC",18,15,69.5,68.8,74.3,0.64,12.09,9.07,3.65,99.65,82.91,2022
"787","Georgia Tech","ACC",17,16,67.7,67,66.3,0.73,11.89,7.42,5.2,101.12,84.68,2022
"788","Boston College","ACC",14,19,71,69.7,75.1,1.3,10.79,10.67,1.43,101.38,85.88,2022
"789","Missouri","SEC",11,19,70,71,69.2,-1.03,12.94,9.47,2.44,103.73,88.75,2022
"790","Saint Joseph's","A-10",28,6,65.3,54.5,65.3,10.85,0.82,1.6,10.07,100.42,82.77,2022
"791","George Mason","A-10",23,8,71.1,58.7,70.7,12.39,0.36,5.83,5.63,99.19,83.04,2022
"792","Toledo","MAC",28,6,72.7,60.1,70.3,12.62,-0.41,6.64,4.68,100.89,85.06,2022
"793","Belmont","MVC",26,9,70.6,62.3,67.8,8.26,2.85,3.87,7.23,100.62,85.34,2022
"794","UCF","Big 12",12,17,64.1,64.6,66.4,-0.45,12.2,4.38,6.53,97.3,82.9,2022
