"","School","Conf","W","L","PPG","PPG_Allowed","Pace","MOV","SOS","OSRS","DSRS","Adj_ORtg","Adj_DRtg","year"
"913","Wright State","Horizon",18,15,70.2,70.8,72.9,-0.61,-1.85,2.53,-6.99,92.07,98.55,2022
"914","Wofford","Southern",17,13,66.6,61.1,69.8,5.5,-6.31,-0.59,-3.91,90.63,97.01,2022
"915","Austin Peay","A-Sun",17,16,62.3,60.2,65,2.09,-5.98,-7.54,3.03,84.98,90.99,2022
"916","Long Beach State","Big West",15,18,67.9,69.5,67.4,-1.55,-2.3,3,-7.53,86.68,93.29,2022
"917","Loyola Marymount","WCC",11,19,60.4,65.3,66.9,-4.97,2.24,-4.15,-0.43,89.42,96.98,2022
"918","Florida Atlantic","AAC",11,19,61,65.6,65.7,-4.6,0.73,-5,0.35,88.35,95.38,2022
"919","Georgia State","Sun Belt",15,15,69.8,68.5,72.1,1.27,-3.22,0.37,-5.06,90.19,97.13,2022
"920","Delaware","CAA",11,20,67.4,66.5,72.9,0.97,-5.69,1.18,-5.9,87.06,94.34,2022
"921","UT Arlington","WAC",17,16,69.9,71.6,73.9,-1.76,-3,2.03,-6.79,90.94,96.96,2022
"922","Mercer","Southern",15,17,64.8,64.3,70.8,0.44,-5.26,-1.04,-3.79,89.28,95.92,2022
"923","Milwaukee","Horizon",16,16,66.2,62.7,67.1,3.5,-5.85,-4.29,-0.59,90.17,96.87,2022
"924","Arkansas-Pine Bluff","SWAC",17,16,73,67.8,73.6,5.21,-6.12,2.78,-7.71,88.55,95.79,2022
"925","New Mexico State","CUSA",13,18,60.5,61.5,68.7,-1.03,-2.72,-6.95,1.99,84.77,91.61,2022
"926","UC Riverside","Big West",18,14,58.4,58.3,68.3,0.09,-3.29,-8.22,3.19,82.55,90,2022
"927","Utah Tech","WAC",18,14,73.2,68.3,68,4.88,-5.88,1.45,-6.53,92.75,100.1,2022
"928","Texas State","Sun Belt",14,18,64.9,63.5,67.5,1.41,-3.96,-5.25,0.13,87.8,95.02,2022
"929","Idaho State","Big Sky",11,19,59.5,61.7,67.6,-2.2,-1.81,-6.78,1.34,84.1,92.02,2022
"930","East Tennessee State","Southern",18,12,59.4,55.6,70.6,3.8,-7.86,-8.98,3.51,86.11,93.34,2022
"931","Colgate","Patriot",20,14,61.8,55.7,67.1,6.12,-9.57,-6.69,1.15,88.07,96.02,2022
"932","Niagara","MAAC",21,14,70.8,70.1,81.3,0.69,-6.24,4.12,-9.68,84.09,92.54,2022
"933","UC Santa Barbara","Big West",16,15,64.9,62.7,66.7,2.23,-4.76,-3.41,-2.24,89.34,97.85,2022
"934","Siena","MAAC",18,12,68.4,63.9,71.8,4.5,-10.17,0.53,-6.2,87.96,96.54,2022
"935","Lipscomb","A-Sun",17,13,67.9,66.1,65.1,1.8,-4.99,-1.3,-4.44,87.85,95.53,2022
"936","Campbell","CAA",17,14,60.8,55.1,63.6,5.71,-7.09,-9.57,3.69,86.01,94.34,2022
"937","UTEP","CUSA",12,19,67,71.5,69.6,-4.48,-0.27,1.7,-7.62,92.72,100.91,2022
"938","UNC Greensboro","Southern",21,12,63.4,56.2,65.6,7.27,-7.99,-6.56,0.37,87.95,96.13,2022
"939","Coastal Carolina","Sun Belt",12,21,66.6,71.4,71.9,-4.79,-0.58,-0.3,-5.96,87.37,96.24,2022
"940","Georgia Southern","Sun Belt",15,18,72.3,70.4,76.7,1.88,-5,1.34,-7.64,84.07,93.73,2022
"941","UC San Diego","Big West",12,19,58.4,58.1,69,0.35,-3.07,-9.9,3.41,81.1,90.96,2022
"942","Tennessee Tech","OVC",16,15,69.9,66.9,64.9,3.03,-7.02,-0.38,-6.44,89.62,99.49,2022
"943","Tennessee-Martin","OVC",16,17,63.2,63.2,64.8,0.03,-6.04,-6.21,-0.67,89.11,98.82,2022
"944","Northern Kentucky","Horizon",11,20,68.3,73.4,68.7,-5.1,-1.87,1.29,-8.56,91.59,101.93,2022
"945","Southern","SWAC",15,15,60.6,62.5,69,-1.83,-3.45,-7.03,-0.25,82.22,92.27,2022
"946","Sacred Heart","NEC",24,10,65.9,56.4,70.3,9.53,-15.71,-4.54,-3.01,86.11,97.49,2022
"947","Incarnate Word","Southland",19,11,62.5,57.4,62.4,5.07,-8.84,-8.48,0.83,86.29,95.72,2022
"948","Howard","MEAC",15,16,58.9,57.7,73.4,1.26,-8.95,-8.32,0.63,79.3,90.02,2022
"949","Youngstown State","Horizon",14,18,60.6,62.7,65.5,-2.09,-4.29,-7.89,-0.05,83.52,94.43,2022
"950","Little Rock","OVC",12,18,55.6,60.7,66.3,-5.03,-2.95,-12.03,4.05,80.35,91.97,2022
"951","St. Thomas","Summit",15,16,67.8,71.2,67.2,-3.32,-2.2,-1.74,-6.49,87.92,99.15,2022
"952","Dayton","A-10",12,19,63.5,68.9,69.9,-5.42,0.5,-3.01,-5.25,87.52,98.89,2022
"953","Grambling","SWAC",23,10,71.9,64.1,71.6,7.82,-8.52,-1.75,-6.63,83.2,93.34,2022
"954","Binghamton","AEC",14,17,61.9,60.3,66.6,1.65,-9.4,-5.67,-2.91,87.98,100.66,2022
"955","Western Michigan","MAC",12,18,62.2,65.7,69.5,-3.5,-4.54,-5.09,-3.52,87.21,99.39,2022
"956","Yale","Ivy",8,19,60.7,68.4,69.8,-7.7,-0.95,-4.03,-4.63,87.01,100.14,2022
"957","Maryland-Eastern Shore","MEAC",15,15,62.2,59.3,68.8,2.9,-9.1,-7.11,-1.82,83.13,96.13,2022
"958","Boston University","Patriot",20,12,62.6,61.6,68.6,1.03,-8.98,-5.39,-3.59,86.21,99.34,2022
"959","Lehigh","Patriot",17,13,68.8,65.4,71.6,3.4,-11.44,0.03,-9.2,87.55,101.86,2022
"960","Detroit Mercy","Horizon",17,16,60.2,63.5,72.9,-3.21,-5.98,-8.88,-0.31,81.01,93.53,2022
"961","Western Illinois","OVC",18,12,74.3,66.5,72.8,7.83,-10.99,-0.41,-8.93,86.05,98.88,2022
"962","Cal State Fullerton","Big West",10,21,59,65.4,69.7,-6.42,-2.93,-5.94,-3.41,85.02,98.68,2022
"963","Indiana State","MVC",11,21,64.2,71.7,69,-7.53,-1.7,-4.41,-5,85.48,97.89,2022
"964","Akron","MAC",11,18,62.3,66.1,70.6,-3.79,-5.63,-5.91,-3.51,84.81,98.46,2022
"965","Morehead State","OVC",15,15,66.3,65.6,67.9,0.7,-6.11,-4.41,-5.03,83.44,96.91,2022
"966","Stetson","A-Sun",17,15,57.8,58.8,69,-1.03,-6.43,-11.76,2.27,78.67,92.04,2022
"967","Jacksonville State","CUSA",12,17,59,63.1,68.4,-4.1,-2.65,-8.88,-0.62,79.2,92.87,2022
"968","Oakland","Horizon",12,17,71.4,72.9,69.7,-1.52,-2.62,1.34,-10.89,87.88,101.28,2022
"969","Northern Illinois","MAC",15,16,64.4,65.6,71.6,-1.19,-6.34,-5.05,-4.72,83.1,96.64,2022
"970","Denver","Summit",8,22,64.4,69.7,68,-5.3,-3.58,-4.36,-5.46,88.66,102.76,2022
"971","Jacksonville","A-Sun",11,20,65.3,70.6,65.7,-5.29,-3.08,-3.25,-6.73,84.83,97.68,2022
"972","Eastern Illinois","OVC",15,18,65.7,67.8,69.2,-2.12,-8.2,-4.17,-6.15,84.02,98.38,2022
"973","Bethune-Cookman","SWAC",15,16,66.4,60.8,73.6,5.55,-10.07,-6.52,-4.08,79.8,94.05,2022
"974","Samford","Southern",14,16,58.1,60.8,68.9,-2.73,-4.79,-11.11,0.43,79.55,95.2,2022
"975","Manhattan","MAAC",18,12,57.2,56.7,73.2,0.5,-11.33,-11.34,0.51,81.67,97.12,2022
"976","Kennesaw State","A-Sun",11,19,58.9,64.2,69.1,-5.33,-2.5,-7.76,-3.09,81.48,96.69,2022
"977","Coppin State","MEAC",12,18,55.3,59.8,75,-4.53,-6.54,-11.66,0.59,78.92,95.2,2022
"978","Kansas City","Summit",12,20,64.5,66,68,-1.47,-5.19,-8.62,-2.6,80.03,95.51,2022
"979","Cornell","Ivy",7,19,56,67.4,67.2,-11.42,0.03,-7.88,-3.52,79.95,96.54,2022
"980","San Jose State","MWC",7,24,60.3,66.2,71.9,-5.87,-2.26,-7.11,-4.35,84.12,100.8,2022
"981","Ohio","MAC",11,19,63.8,71.5,74.7,-7.67,-3.89,-3.58,-7.98,80.94,96.5,2022
"982","Loyola (MD)","Patriot",16,15,59,61.3,64.5,-2.26,-9.39,-9.02,-2.62,84.95,102.43,2022
"983","Canisius","MAAC",17,14,60.6,61.8,69.8,-1.13,-10.37,-7.91,-3.89,84.18,100.99,2022
"984","UMass","A-10",5,27,58,71.2,70.5,-13.13,0.99,-5.35,-6.79,83.19,100.34,2022
"985","Weber State","Big Sky",8,25,57,66.6,72.2,-9.61,-1.8,-8.2,-3.94,82.22,100.02,2022
"986","Bucknell","Patriot",13,18,55.9,61.2,68.1,-5.29,-6.89,-11.32,-0.87,79.96,98.12,2022
"987","High Point","Big South",20,12,62.7,63.9,69.2,-1.22,-8.81,-5.75,-6.46,83.25,100.04,2022
"988","Alabama A&M","SWAC",15,16,61.7,61.9,70.7,-0.13,-11.1,-9.47,-2.77,80.34,97.1,2022
"989","Nicholls State","Southland",14,18,62.9,63.2,69.7,-0.25,-8.85,-7.69,-4.57,81.74,98.5,2022
"990","Furman","Southern",15,16,66.2,64.1,67.7,2.1,-8.65,-5.84,-6.45,83.26,100.24,2022
"991","Southern Utah","WAC",8,22,65.7,73.6,69.7,-7.87,-3.85,-3.54,-8.94,88.34,105.46,2022
"992","Sacramento State","Big Sky",6,25,56.7,66.9,65.1,-10.16,-2.34,-9.07,-3.43,81.36,99.83,2022
"993","North Alabama","A-Sun",12,18,68,72.5,67.6,-4.5,-4.91,-0.7,-11.81,85.33,102.2,2022
"994","Tarleton State","WAC",11,20,61.4,65.4,64.7,-4.06,-6.2,-9.86,-2.8,81.22,98.25,2022
"995","La Salle","A-10",8,22,57.6,70.8,70.8,-13.17,0.38,-6.15,-6.64,81.13,99.7,2022
"996","Northwestern State","Southland",11,19,58.4,61.6,65.5,-3.2,-5.59,-12.42,-0.46,77.4,94.77,2022
"997","New Orleans","Southland",11,19,62.2,68.3,68.1,-6.17,-6.9,-5.1,-7.98,78.03,95.26,2022
"998","IU Indianapolis","Horizon",7,23,64.5,75.1,68.5,-10.63,-2.45,-2.05,-11.04,83.03,100.33,2022
"999","Bryant","AEC",15,15,60.6,61,68.7,-0.43,-9.07,-8.64,-4.57,80.83,100.02,2022
"1000","St. Bonaventure","A-10",4,26,54.7,66.5,67.3,-11.83,-1.53,-9.93,-3.44,79.7,98.86,2022
"1001","Utah Valley","WAC",10,19,59.8,65.5,64.7,-5.66,-6.31,-10.41,-2.97,76.64,95.14,2022
"1002","Omaha","Summit",8,23,72.3,81.2,67.8,-8.84,-2.17,3.23,-16.64,90.41,108.04,2022
"1003","Sam Houston","CUSA",7,22,66.2,72.3,72.6,-6.1,-2.56,-2.41,-11.01,81.21,98.9,2022
"1004","Miami (OH)","MAC",9,20,53.9,63.8,76.6,-9.83,-3.76,-13.65,0.06,76.22,95.97,2022
"1005","Xavier","Big East",1,27,50.7,72.6,73.5,-21.93,8.34,-9.15,-4.45,79.76,100.32,2022
"1006","Quinnipiac","MAAC",13,18,59.3,64.6,71.8,-5.29,-8.47,-8.13,-5.63,82.08,101.88,2022
"1007","Elon","CAA",11,21,53.1,61.3,69.4,-8.28,-4.76,-13.77,-0.05,74.15,94.32,2022
"1008","North Florida","A-Sun",9,21,63.5,68.2,68.9,-4.63,-4.05,-6.56,-7.38,82.63,102.01,2022
"1009","Southeast Missouri State","OVC",9,20,62.1,66.7,71,-4.62,-6.87,-9.38,-4.68,78.25,97.8,2022
"1010","North Dakota","Summit",9,21,66.9,76.6,70.4,-9.7,-1.26,-1.79,-12.28,83.81,102.2,2022
"1011","Cal State Bakersfield","Big West",8,21,58.7,67,66.4,-8.28,-5.25,-7.38,-6.72,83.31,103.56,2022
"1012","Valparaiso","MVC",5,25,61.8,72.8,67.7,-11,-3.11,-6.89,-7.22,83.03,101.86,2022
"1013","Mount St. Mary's","MAAC",14,17,54.5,58.5,68.5,-4,-10.26,-13.97,-0.3,75.27,95.79,2022
"1014","American","Patriot",10,20,60.8,66,67.7,-5.23,-9.09,-7.14,-7.18,79.79,100.63,2022
"1015","Hofstra","CAA",11,21,56.6,58.9,66.9,-2.31,-9.22,-13.15,-1.33,76.16,97.29,2022
"1016","New Hampshire","AEC",9,20,54.1,58.8,65.5,-4.66,-8.63,-13.23,-1.44,76.07,97.69,2022
"1017","Texas-Rio Grande Valley","WAC",6,23,59.6,71,71.1,-11.41,-3.4,-9.04,-5.78,79.47,99.94,2022
"1018","Seattle","WAC",6,23,63.6,75.2,69.6,-11.59,-3.39,-3.8,-11.17,84.04,104.48,2022
"1019","South Alabama","Sun Belt",9,23,60.7,71.5,70.7,-10.81,-1.92,-7.97,-7.11,79.43,100.34,2022
"1020","Northeastern","CAA",10,17,57.5,64.6,70.2,-7.11,-7.98,-10.19,-4.91,81.98,104.48,2022
"1021","Tennessee State","OVC",11,19,62.1,68.1,73.8,-6.07,-8.26,-7.88,-7.34,77.23,98.29,2022
"1022","Maryland-Baltimore County","AEC",10,19,58.4,63,65.9,-4.59,-8.71,-10.03,-5.24,77.91,100.04,2022
"1023","Army","Patriot",12,17,59.2,62.3,69.7,-3.07,-9.81,-9.71,-5.62,80.32,102.46,2022
"1024","Navy","Patriot",14,17,61.8,63.7,68.3,-1.9,-9.98,-8.24,-7.08,77.76,99.17,2022
"1025","NJIT","AEC",12,18,57.4,62.5,67.8,-5.03,-10.52,-9.46,-6.1,76.77,99.21,2022
"1026","Presbyterian","Big South",21,15,57.6,58.9,68.6,-1.36,-11.13,-14.2,-1.41,77.84,99.16,2022
"1027","Bellarmine","A-Sun",10,19,67.2,75,71.6,-7.83,-4.47,-2.76,-12.93,83.73,103.95,2022
"1028","Portland State","Big Sky",8,23,56.3,67.6,68.5,-11.29,-3.1,-10.24,-5.65,82.26,106.48,2022
"1029","Radford","Big South",15,18,57.5,61.4,69.7,-3.94,-11.29,-12.97,-3.13,76.07,98.14,2022
"1030","Alcorn State","SWAC",12,20,54.1,63,70,-8.88,-5.89,-15.16,-0.95,75.84,97.09,2022
"1031","Eastern Michigan","MAC",7,22,57.3,67.5,73.3,-10.24,-4.72,-11.49,-4.73,75.9,99,2022
"1032","Pepperdine","WCC",5,25,54.2,70.1,69,-15.9,2.4,-12.22,-4.02,76.08,100.06,2022
"1033","Iona","MAAC",11,19,57.6,63.2,68.4,-5.6,-10.85,-10.73,-5.72,81.12,104.81,2022
"1034","Central Michigan","MAC",6,22,61.5,71.7,71.5,-10.18,-5.18,-7.08,-9.51,77.84,99.98,2022
"1035","Florida A&M","SWAC",9,21,59.8,70,70.9,-10.2,-6.45,-8.1,-8.56,79.17,101.85,2022
"1036","Dartmouth","Ivy",7,19,48.5,58.4,67.8,-9.92,-3.29,-18.97,2.18,71.51,97.8,2022
"1037","Lafayette","Patriot",10,20,55.9,63.6,66.2,-7.77,-9.47,-12.32,-4.91,78.89,104.88,2022
"1038","Bradley","MVC",6,26,60.2,75.3,66.7,-15.09,-1.5,-8.43,-8.85,81.66,105.94,2022
"1039","South Carolina Upstate","Big South",16,16,58.8,61.4,65.4,-2.56,-13.81,-12.09,-5.27,75.89,99.12,2022
"1040","Charleston Southern","Big South",11,19,61,66.6,71.3,-5.57,-11.28,-8.88,-8.61,77,100.55,2022
"1041","FDU","NEC",14,17,58.4,61,67.2,-2.58,-13.52,-12.67,-5.12,78.87,104.96,2022
"1042","Robert Morris","Horizon",6,24,55.3,66.4,66.7,-11.03,-3.88,-13.66,-4.22,74.55,100.33,2022
"1043","SIU Edwardsville","OVC",5,26,68.1,77,79.1,-8.97,-6.47,-1.64,-16.37,84.83,109.17,2022
"1044","Massachusetts-Lowell","AEC",4,25,51.9,63.6,68.5,-11.69,-6.55,-13.58,-4.66,73.12,99.99,2022
"1045","Cal State Northridge","Big West",3,27,55.2,69.6,64.4,-14.47,-3.52,-10.17,-8.18,73.16,98.71,2022
"1046","Marist","MAAC",6,25,55.5,63.9,69.4,-8.39,-9.96,-12.52,-5.82,72.3,98.85,2022
"1047","Morgan State","MEAC",8,22,53.6,62.7,69.5,-9.13,-7.02,-13.83,-4.58,72.3,98.2,2022
"1048","North Carolina Central","MEAC",16,15,65.7,65.9,77.7,-0.13,-10.94,-6.29,-12.32,72.58,97.38,2022
"1049","Prairie View","SWAC",11,18,60.9,65.6,72.5,-4.62,-6.44,-9.35,-9.33,77.45,102.63,2022
"1050","Merrimack","NEC",12,19,59.3,62.5,72.1,-3.29,-15.44,-11.27,-7.46,74.63,101.98,2022
"1051","Rider","MAAC",10,21,54.9,64.6,69.4,-9.71,-9.59,-13.58,-5.72,76.11,104.39,2022
"1052","Winthrop","Big South",14,16,56.8,60.2,68.6,-3.47,-12.78,-15.9,-3.44,72.35,99.44,2022
"1053","Hampton","CAA",3,26,54.5,68.2,71.5,-13.72,-6.1,-11.5,-8.32,72.45,99.74,2022
"1054","Evansville","MVC",4,28,62.8,81.1,74.2,-18.25,-1.64,-5.92,-13.97,77.05,102.8,2022
"1055","UNC Asheville","Big South",11,20,59.5,60.5,69.4,-1,-15.72,-13.73,-6.27,74.18,101.95,2022
"1056","Utah State","MWC",5,25,56.2,74,75.2,-17.77,-1.2,-8.29,-12.31,78.93,107.97,2022
"1057","Central Connecticut State","NEC",9,21,57.9,66.1,70.7,-8.27,-13.27,-11.71,-9.82,75.31,106.04,2022
"1058","Texas Southern","SWAC",7,22,56.5,69.9,81.4,-13.38,-5.91,-12.02,-9.81,73.19,101.79,2022
"1059","Longwood","Big South",9,21,61,68.7,76.2,-7.67,-10.92,-11.19,-10.8,73.61,103.37,2022
"1060","Houston Christian","Southland",6,23,53.7,65,63.1,-11.38,-4.34,-17.01,-5.25,70.64,102.11,2022
"1061","Saint Peter's","MAAC",7,23,50.6,62.4,72.6,-11.87,-10.86,-18.83,-3.89,67.41,100.26,2022
"1062","Western Carolina","Southern",6,24,56.8,66.4,62.6,-9.57,-7.38,-12.74,-10.16,75.74,108.41,2022
"1063","Gardner-Webb","Big South",6,24,62.3,76.7,76.4,-14.43,-9.64,-5.87,-18.2,79.51,111.52,2022
"1064","Mississippi Valley State","SWAC",4,27,55.5,77.1,80.3,-21.65,-2.59,-11.27,-12.96,71.99,102.84,2022
"1065","Delaware State","MEAC",8,20,57.5,70.8,69.7,-13.25,-6.71,-12.6,-12.49,74.85,110.09,2022
"1066","UNC Wilmington","CAA",5,25,54.5,72.8,65.7,-18.27,-5.45,-12.64,-12.94,71.14,106.2,2022
"1067","Long Island University","NEC",8,22,58.2,67.8,69.6,-9.6,-17.18,-13.56,-13.22,72.06,110.32,2022
"1068","McNeese State","Southland",6,25,65.2,78.4,76,-13.23,-5.36,-6.28,-20.94,78.38,113.12,2022
"1069","Alabama State","SWAC",3,26,49.3,73.4,75,-24.03,-3.64,-17.84,-9.83,68.49,104.9,2022
"1070","Wagner","NEC",7,21,55.3,67,70.3,-11.75,-16.39,-17.24,-12.55,65.69,108.25,2022
"1071","South Carolina State","MEAC",2,28,48.3,69.1,76.2,-20.77,-9.1,-19.8,-10.07,66.65,109.91,2022
"1072","Chicago State","Ind",1,26,59,83,72.6,-24.04,-4.05,-9.56,-22.07,71.14,111.7,2022
"1073","Saint Francis (PA)","NEC",5,25,51.5,69.9,65.5,-18.4,-13.92,-18.9,-13.42,68.26,114.94,2022
"1074","Baylor","Big 12",37,1,81.7,55.7,73.4,26.03,15.66,22.15,19.54,86.57,24.34,2019
"1075","Notre Dame","ACC",35,4,88.6,64.9,77,23.64,17.1,29.85,10.88,92.45,32.93,2019
"1076","Mississippi State","SEC",33,3,86.2,58.2,73.6,27.97,10.79,26.27,12.49,91.33,33.46,2019
"1077","UConn","AAC",35,3,82.8,56.6,72.5,26.21,11.91,22.98,15.15,89.33,31.51,2019
"1078","Oregon","Pac-12",33,5,84.9,63,69.2,21.95,17.37,26.17,11.61,92.78,37.06,2019
"1079","Louisville","ACC",32,4,77.9,59.5,71.5,18.36,14.17,18.74,13.79,84.96,34.28,2019
"1080","Marquette","Big East",27,8,82,61.9,74.5,20.11,12,22.68,9.43,83.93,35.68,2019
"1081","Stanford","Pac-12",31,5,74.1,60.9,72,13.19,16.66,15.56,14.3,76.71,31.47,2019
"1082","Iowa State","Big 12",26,9,78.9,64,75.7,14.89,14.02,19,9.91,79.89,35.91,2019
"1083","Oregon State","Pac-12",26,8,75.1,61.2,68.7,13.85,13.82,15.42,12.26,80.9,38.35,2019
"1084","Iowa","Big Ten",29,7,78.4,67.3,72.5,11.08,14.13,19.52,5.69,84.71,43.5,2019
"1085","Arizona State","Pac-12",22,11,65.4,58.2,66.2,7.18,16.55,7.03,16.7,72.93,34.61,2019
"1086","South Carolina","SEC",23,10,75.3,66.8,73.8,8.55,15.1,16.6,7.04,77.58,38.98,2019
"1087","Syracuse","ACC",25,9,77.2,67.2,75.8,10,13.2,17.3,5.9,76.61,40.06,2019
"1088","Maryland","Big Ten",29,5,75,61.2,73,13.85,9.24,14.61,8.48,77.29,39.59,2019
"1089","UCLA","Pac-12",22,13,73.7,68.8,71.5,4.97,17.59,15.94,6.63,76.41,40.76,2019
"1090","NC State","ACC",28,6,71,60.9,70.1,10.18,12.3,11.32,11.15,76.28,38.49,2019
"1091","Kentucky","SEC",25,8,71.6,59.2,71.7,12.42,9.62,11.03,11.02,72.54,36.18,2019
"1092","West Virginia","Big 12",22,11,70.8,57.3,72.6,13.45,8.4,9.29,12.57,70.06,34.38,2019
"1093","Miami (FL)","ACC",25,9,73.6,63.5,72.7,10.03,11.61,13.41,8.23,76.32,40.84,2019
"1094","South Dakota State","Summit",28,7,79,62.6,70.1,16.37,5.08,14.27,7.18,74.87,40.91,2019
"1095","Texas A&M","SEC",26,8,69.8,60.4,71,9.41,11.8,9.6,11.61,72.57,36.99,2019
"1096","Texas","Big 12",23,10,70.5,62,70.6,8.55,12.57,10.46,10.65,71.3,38.15,2019
"1097","Gonzaga","WCC",29,5,73.4,58.9,68.2,14.47,6.07,9.8,10.74,65.82,36.12,2019
"1098","DePaul","Big East",26,8,81.1,72.9,74.4,8.18,11.91,21.41,-1.33,78.48,46.94,2019
"1099","Utah","Pac-12",20,10,74.2,64.6,71.1,9.63,10.39,14.08,5.94,75.25,43.09,2019
"1100","Central Michigan","MAC",25,8,80.5,66.3,72.6,14.21,5.46,17.45,2.22,81.57,49.57,2019
"1101","Missouri","SEC",24,11,65.9,58.7,66,7.14,12.42,5.37,14.2,73.22,39.86,2019
"1102","Arizona","Pac-12",24,13,68,60.7,69.5,7.32,11.56,7.44,11.44,65.15,34.94,2019
"1103","California","Pac-12",20,13,72.7,70,68.5,2.7,16.18,14.24,4.64,76.69,46.37,2019
"1104","Florida State","ACC",24,9,68.5,61.2,71.2,7.3,11.43,7.92,10.82,70.82,39.23,2019
"1105","Michigan","Big Ten",22,12,71.7,63.6,72.5,8.09,10.07,10.93,7.22,71.85,41.35,2019
"1106","Michigan State","Big Ten",21,12,75.1,68.6,74.2,6.48,11.59,14.47,3.6,75.57,45.01,2019
"1107","Tennessee","SEC",19,13,74.6,69.1,75.6,5.53,12.08,15.3,2.3,72.77,43.42,2019
"1108","Drake","MVC",27,7,80.5,66.6,75.1,13.88,4.68,16.6,0.93,71.16,43.71,2019
"1109","USC","Pac-12",17,13,69.9,67,72,2.93,14.4,11.51,5.82,69.64,41.81,2019
"1110","TCU","Big 12",24,11,68.7,60.9,72.5,7.8,9.32,7.44,9.68,65.96,36.71,2019
"1111","Virginia Tech","ACC",22,12,72.4,62.5,70.9,9.91,6.93,11.21,5.64,74.36,44.93,2019
"1112","UNC","ACC",18,15,74.9,71.4,74.7,3.55,13.17,16,0.72,76.51,47.96,2019
"1113","Northwestern","Big Ten",21,15,65.3,59.5,70.7,5.75,10.87,4.91,11.71,65.51,37.56,2019
"1114","Rutgers","Big Ten",22,10,64.1,58.2,68,5.94,10.35,2.47,13.82,67.04,38.62,2019
"1115","Auburn","SEC",22,10,71.6,63.6,70.8,8.03,8.6,9.85,6.43,69.01,41.29,2019
"1116","South Dakota","Summit",28,6,77.1,59.7,69.2,17.35,0.91,9.77,6.48,66.69,40.53,2019
"1117","LSU","SEC",16,13,61.7,56.2,66.6,5.52,10.55,1.28,14.78,62.37,35.32,2019
"1118","Indiana","Big Ten",21,13,69.1,65.5,73,3.56,12.28,9.25,6.59,68.79,41.87,2019
"1119","Minnesota","Big Ten",21,11,69.5,60.5,70,9.06,6.36,7.54,7.88,68.74,41.5,2019
"1120","Nebraska","Big Ten",14,16,72.4,70.1,74.1,2.3,13.01,12.22,3.1,71.6,44.87,2019
"1121","Buffalo","MAC",24,10,76.1,67.2,74.9,8.91,6.23,13.13,2.02,72.08,45.86,2019
"1122","Butler","Big East",23,10,66.7,58.5,70.6,8.18,6.95,4.18,10.95,63.66,37.42,2019
"1123","Kansas State","Big 12",21,12,64.5,64.4,71,0.06,14.91,5.48,9.49,66.69,40.72,2019
"1124","Arkansas","SEC",22,15,73.9,69.8,76.2,4.11,10.67,13.63,1.15,70.52,44.61,2019
"1125","Georgia","SEC",18,12,68.4,60.1,71.9,8.3,6.28,6.06,8.52,65.23,39.45,2019
"1126","Clemson","ACC",20,13,69.1,67,78,2.12,12.14,7.93,6.33,62.5,36.75,2019
"1127","Georgia Tech","ACC",17,13,67.5,63.6,74.7,3.9,10.06,6.14,7.82,63.82,38.7,2019
"1128","Duke","ACC",15,15,63.6,62,71.1,1.6,12.11,4.1,9.61,64,39.7,2019
"1129","Purdue","Big Ten",19,15,64.1,62.5,67.3,1.62,11.64,3.41,9.85,68.77,44.71,2019
"1130","James Madison","CAA",29,6,66.1,51.6,67.9,14.51,-1.51,1.59,11.41,65.95,40.01,2019
"1131","Saint Mary's (CA)","WCC",21,12,75.4,68,71,7.42,5.53,12.18,0.77,64.74,45.46,2019
"1132","Ohio","MAC",30,6,76.3,65.3,74.8,10.97,1.96,11.25,1.68,69.98,47.21,2019
"1133","South Florida","AAC",19,16,62.7,56.2,68.8,6.49,6.43,1.96,10.95,64.45,40.01,2019
"1134","Green Bay","Horizon",22,10,63.4,51.9,64.8,11.5,2.59,-0.77,13.65,63.6,39.02,2019
"1135","UCF","AAC",26,7,61.2,55.8,69,5.39,7.3,0.77,11.92,61.96,38.12,2019
"1136","Missouri State","MVC",25,10,72.8,63.2,74.2,9.63,3.05,8.71,3.96,65.78,43.62,2019
"1137","Villanova","Big East",19,13,64.7,62.3,64.8,2.34,10.11,4.99,7.46,73.12,49.82,2019
"1138","Belmont","OVC",26,7,75,60,68.7,14.94,-2.62,8.07,4.25,74.29,50.11,2019
"1139","Georgetown","Big East",19,16,61.8,60.1,68.6,1.71,10.53,2,10.24,64.25,42.01,2019
"1140","UC-Davis","Big West",25,7,71.2,57,69.4,14.22,-0.92,5.67,6.48,62.86,42.55,2019
"1141","Oklahoma State","Big 12",14,16,66.2,65.3,72.4,0.97,10.99,5.41,6.55,65.72,43.75,2019
"1142","Florida Gulf Coast","A-Sun",28,5,75.3,57,69.9,18.27,-5.17,6.14,5.69,62.74,41.1,2019
"1143","St. John's (NY)","Big East",15,16,64.7,62.5,67.5,2.13,9.65,4.07,7.71,69.1,46.73,2019
"1144","New Mexico","MWC",24,7,75.4,64,77.2,11.39,0.19,10.1,1.48,57.05,38.84,2019
"1145","Rice","CUSA",28,4,65.9,52.9,64,13,-1.49,-0.09,11.6,64.97,40.75,2019
"1146","Cincinnati","AAC",24,11,67.2,60.5,70.5,6.74,4.37,5.71,5.41,67.75,46.3,2019
