seed1,team1,seed2,team2,score1,score2,winner,region,year,team1_win,std_MOV_game,std_seed_diff,std_PPG_diff,std_PPG_Allowed_diff,std_Pace_diff,std_MOV_diff,std_SOS_diff,std_OSRS_diff,std_DSRS_diff,std_Adj_ORtg_diff,std_Adj_DRtg_diff
1,South Carolina,16,Presbyterian,91,39,South Carolina,region1,2024,1,2.6894610429022694,2.070987270416887,2.4356894596789838,-0.31895205604410076,1.2748502986409822,2.447306675282422,2.0435347745772763,2.758958070572862,2.0101097836000252,2.5719753528690434,-2.9049050291975056
8,UNC,9,Michigan State,59,56,UNC,region1,2024,1,-1.0676057683201514,-1.1826835035547805,-1.8049693160057179,-0.6438583838973454,-0.9358727625861546,-1.261970616353524,-0.13374343959811447,-1.3435243243736767,0.17856172041912516,-1.3143528130892401,0.04753517107220618
5,Oklahoma,12,Florida Gulf Coast,73,70,Oklahoma,region1,2024,1,-1.0676057683201514,0.21174682814736254,-0.16022782824015686,2.1030769334073556,1.783316602723227,-1.4431107834788133,1.1772233724581949,0.4915273132199945,-0.887318522960944,-0.4016030058235739,-0.22060159222706452
4,Indiana,13,Fairfield,89,56,Indiana,region1,2024,1,1.2326392181425552,0.6765569387147435,0.3748085593462312,1.3794219304614943,0.12527430680287194,-0.5037306202964091,1.754125434488822,0.7262249046375546,0.674290638346187,0.9450770376831475,-0.5905128934209497
6,Nebraska,11,Texas A&M,61,59,Nebraska,region1,2024,1,-1.1442806012022417,-0.25306328242001846,0.07756612179823816,0.8329885608901286,-0.2505486136057425,-0.4391027214728136,-0.3004892183245747,-0.09600424113403067,-0.897409696862767,-0.12342515845274096,0.8558598662736594
3,Oregon State,14,Eastern Washington,73,51,Oregon State,region1,2024,1,0.38921605643956275,1.1413670492821246,-0.06114701572415777,0.5671561108283827,-0.33897753605482617,-0.39996188134021327,1.3315111332338276,0.47183791796684366,0.5859928667052343,0.715869373712559,-0.3810922096762634
7,Ole Miss,10,Marquette,67,55,Ole Miss,region1,2024,1,-0.3775322723813395,-0.7178733929873995,-0.42774602203334944,0.005954271809142906,-0.09579799931984205,-0.3981413771479995,-0.27173994613035746,-0.564611848159024,-0.05227388258507906,-0.5396717173548176,0.17181753946274528
2,Notre Dame,15,Kent State,81,67,Notre Dame,region1,2024,1,-0.22418260661715905,1.6061771598495056,0.3549923968430314,-0.23034123935685208,0.677955072109657,0.46841861834584636,0.8830224870040376,0.6640064156375973,1.2229982192578202,0.37511851421919135,-1.7178616208689799
1,South Carolina,8,UNC,88,41,South Carolina,region1,2024,1,2.3060868784918185,0.21174682814736254,1.4250651720158076,-0.8506169561675916,0.6779550721096539,1.8438095355634943,-0.5266501595857508,0.8908282489538968,0.38921497561968355,0.7593984256238874,-0.6541219796050832
5,Oklahoma,4,Indiana,68,75,Indiana,region1,2024,0,-0.7609064367917906,-1.1826835035547805,-0.6159995658137456,0.714840805307129,1.1643141455796253,-1.0134717941163183,-0.45094374280764543,-0.440962445969236,-1.3376371583298017,-1.169482687196851,0.4986703823166004
6,Nebraska,3,Oregon State,51,61,Oregon State,region1,2024,0,-0.53088193814552,-0.7178733929873995,-0.17013590949175605,0.6705353969635073,0.47898999659921315,-0.5765507879849676,-0.7949767000651125,-0.5535857868172595,-1.0071512130450937,-0.7654786741448338,0.8666244808586665
7,Ole Miss,2,Notre Dame,56,71,Notre Dame,region1,2024,0,-0.14750777373506882,-0.25306328242001846,-1.3194733346773286,-0.23034123935685313,-1.0464089156475147,-1.0699074240749513,-0.8361839902101572,-1.36872675029771,-0.4395226810675421,-1.0416160972073232,1.1044246030547362
1,South Carolina,4,Indiana,79,75,South Carolina,region1,2024,1,-0.9909309354380613,-0.7178733929873995,0.26581966557863435,-1.1312178756772124,0.45688276598693983,0.9463009688020111,-0.4011116710043353,0.22060123453663716,0.3854307854064997,-0.09213865239147415,-0.7803615506474415
3,Oregon State,2,Notre Dame,70,65,Oregon State,region1,2024,1,-0.9142561025559711,-1.1826835035547805,-1.0816793846389336,-0.17126736156535438,-1.6211969115665699,-0.8833057443730202,-0.39823674378491347,-0.9166582352853636,-0.3272583714097596,-0.4152058345458642,1.0789809685810823
1,South Carolina,3,Oregon State,70,58,South Carolina,region1,2024,1,-0.3775322723813395,-0.95027844827109,1.1179146532162139,-0.4518682810749732,1.2748502986409822,1.3067607988603753,-0.6291892304117926,0.575010349093355,0.014580144514499379,0.22208669109342766,-0.4593803157490437
1,Iowa,16,Holy Cross,91,65,Iowa,region2,2024,1,0.6959153879679236,2.070987270416887,2.4654137034337826,2.2359931584382298,2.1591395231318415,0.8807628178823087,1.9448289400437966,2.5589138148008472,-0.23139221934243978,2.1013174790778057,-0.9144299322970767
8,West Virginia,9,Princeton,63,53,West Virginia,region2,2024,1,-0.53088193814552,-1.1826835035547805,0.12710652805623698,0.25701825242301285,1.4738153741514262,-0.04405331176238395,0.1307498645886848,0.09143880167596662,-0.0825474042905485,-0.3941214500263144,-0.39772843221672927
5,Colorado,12,Drake,86,72,Colorado,region2,2024,1,-0.22418260661715905,0.21174682814736254,-0.9132420033617387,-0.8210800172718428,-1.0464089156475116,-0.3326032262282968,0.9318962497342073,-0.2054772787415501,1.047664072713643,0.07585628232880957,-0.7363244909815032
4,Kansas State,13,Portland,78,65,Kansas State,region2,2024,1,-0.30085743949924926,0.6765569387147435,0.05774995929503833,-0.6438583838973454,-0.427406458503913,0.44384181175095777,0.4287839863354042,0.24422850884041827,1.0123449640572624,0.5444737318117029,-0.7069664512042096
