team,conf,adj_oe,adj_de,barthag,efg_o,efg_d,tor,tor_d,orb,drb,ftr,ftr_d,x2p_o,x2p_d,x3p_o,x3p_d,adj_t,wab,postseason,seed,year
Michigan St.,B10,109.274,95.239,0.828252,48.6189,47.8107,20.1172,18.281,34.689,28.848,36.62,38.9196,46.7213,44.853,35.136,36.3265,65.1173,2.29,R64,10,2011
Old Dominion,CAA,109.966,96.45,0.820154,48.5194,47.383,20.6207,19.236,45.41,28.228,37.6171,27.515,48.1158,42.814,32.9234,36.6285,60.2331,2.426,R64,9,2011
Texas A&M,B12,108.877,96.047,0.808958,49.316,46.658,20.3188,20.8113,37.614,29.564,47.315,36.9154,48.6137,46.297,33.8195,31.631,61.3319,2.424,R64,7,2011
VCU,CAA,112.64,99.91,0.799561,51.172,49.2172,17.126,22.158,30.9219,36.432,37.194,34.193,48.163,48.7205,37.55,33.6118,65.1174,-1.973,F4,11,2011
Oakland,Sum,117.91,105.1224,0.788865,55.84,49.5188,18.681,16.5326,36.44,32.161,39.1126,31.145,55.92,47.5159,37.25,36.226,71.28,0.446,R64,13,2011
UAB,CUSA,108.483,96.753,0.787766,50.884,45.932,19.3121,19.2219,33.4131,30.693,29.7325,32.464,50.371,45.781,34.2176,31.21,61.7316,-0.152,R68,12,2011
Princeton,Ivy,107.299,98.681,0.723482,52.46,47.176,18.788,18.3268,31.1213,26.99,36.7199,35.4116,50.561,46.91,36.957,33.3103,62.4296,-0.154,R64,13,2011
Wofford,SC,112.343,103.4179,0.720784,53.25,49.8207,18.54,20.2153,34.1103,32.4185,42.73,41.5248,50.47,48.8208,40.7,34.8192,63.3261,-4.5106,R64,14,2011
Memphis,CUSA,104.8134,97.36,0.701289,50.5101,46.867,21.927,21.385,35.373,35.277,39.6115,39.1203,51.4,45.676,32.9234,33.92,67.76,0.151,R64,12,2011
Indiana St.,MVC,103.5165,97.359,0.671596,48.8183,46.345,21.425,19.4205,31.2211,30.283,38.162,45.8306,46.3233,44.542,35.4105,33.299,64.7199,-4.199,R64,14,2011
Bucknell,Pat,104.3145,98.169,0.66981,50.979,45.423,16.92,17.7295,25.2329,29.52,34.1264,35.107,46.7213,44.13,40.7,31.734,64.6207,-2.175,R64,14,2011
Morehead St.,OVC,105.1121,99.899,0.643111,50.695,49.6195,23.3321,22.641,41.13,27.818,40.61,37.8171,49.884,46.3104,34.8155,36.7289,63.1275,-3.489,R32,13,2011
Akron,MAC,102.9177,99.29,0.6049121,49.6141,46.762,17.538,20.5134,28.1295,32.7196,31.231,38.619,46.9208,46.91,35.984,32.146,65.7146,-5.5123,R64,15,2011
LIU Brooklyn,NEC,107.986,104.32,0.5964124,51.949,48.3126,20.1172,19.8179,37.418,32.3175,49.75,26.27,50.945,50.1262,36.181,29.78,73.53,-1.163,R64,15,2011
Northern Colorado,BSky,105.9111,102.7157,0.5891128,49.8129,48.8149,21.626,20.1159,35.373,29.52,43.445,43.227,44.9285,45.987,38.323,35.2214,66.1131,-4.5105,R64,15,2011
Saint Peter's,MAAC,94.9293,92.214,0.5835131,45.5305,42.41,22.9312,21.67,32.1179,34.3258,38.9129,42.1256,42.7323,40.72,34.4167,30.614,63.6249,-5.7128,R64,14,2011
UC Santa Barbara,BW,102.7183,100.7121,0.555814,51.659,47.383,21.927,20.167,28.2293,31.9156,37.3187,42.3258,49.69,43.116,36.666,36.6285,64.3227,-6.7145,R64,15,2011
UNC Asheville,BSth,99.8231,100.111,0.4924169,48.9181,47.9114,21.224,24.15,31.4203,36.314,41.875,39.9225,49.114,46.297,32.2268,34.1154,68.47,-8.17,R64,16,2011
Boston University,AE,103.1174,104.0191,0.4741178,47.3245,46.35,19.106,18.281,34.1103,34.3258,37.3187,30.239,43.3316,44.438,35.5101,32.458,62.3301,-7.416,R64,16,2011
UTSA,Slnd,102.9178,105.7231,0.4235192,49.175,49.1163,19.7143,19.9172,29.9259,33.4231,41.189,36.5141,46.5224,48.179,35.791,33.9136,66.5106,-9.119,R64,16,2011
Little Rock,SB,100.9216,105.8233,0.3664223,47.8228,50.4231,18.54,20.8113,29.277,31.513,42.562,45.53,42.4331,50.1262,39.314,34.147,63.9241,-10.9218,R68,16,2011
Hampton,MEAC,94.2306,99.392,0.354623,45.9296,43.14,18.54,22.837,29.327,35.9311,41.383,36.3136,44.829,41.3,32.1271,31.835,65.6151,-5.4122,R64,16,2011
Alabama St.,SWAC,92.6318,106.724,0.1645312,44.2324,46.762,23.4323,23.329,35.952,33.3221,45.725,52.8338,44.5298,43.827,29.1337,35.724,63.5252,-12.9265,R68,16,2011
Kentucky,SEC,123.52,90.49,0.97301,53.813,42.1,17.121,17.6296,37.82,31.2129,41.747,25.88,52.721,39.61,37.835,31.859,65.3161,11.31,Champions,1,2012
Ohio St.,B10,117.96,88.12,0.96602,52.156,46.452,17.634,22.264,35.748,25.22,38.1122,29.29,52.918,45.266,33.4208,32.582,67.176,7.78,F4,2,2012
Michigan St.,B10,114.32,88.33,0.95103,52.74,43.34,19.9156,19.3213,36.724,27.19,37.7132,34.4134,52.125,42.413,36.89,29.915,64.7192,8.64,S16,1,2012
Kansas,B12,114.122,88.64,0.94844,52.35,43.46,19.2115,20.2162,34.966,29.155,39.876,33.196,52.522,39.82,34.5148,34.151,66.4108,8.26,2ND,2,2012
North Carolina,ACC,116.512,90.511,0.94755,49.8138,45.25,16.49,18.3268,39.99,27.526,37.3149,21.81,49.6103,43.527,33.5202,31.962,71.59,8.35,E8,1,2012
Syracuse,BE,117.78,93.02,0.93726,52.156,44.215,16.17,24.411,36.332,39.6342,32.9259,31.52,51.932,42.514,34.9138,31.547,64.6194,10.82,E8,1,2012
Wisconsin,B10,114.221,90.41,0.93577,50.1126,42.52,15.2,18.2276,30.6224,27.831,30.7303,29.837,46.5217,42.7,36.864,29.411,57.5345,4.814,S16,4,2012
Missouri,B12,126.21,100.2129,0.93398,58.1,50.1222,15.43,21.597,30.423,32.217,37.5142,27.313,57.1,47.9172,39.89,36.828,65.5148,8.73,R64,2,2012
Wichita St.,MVC,116.81,93.624,0.92749,53.813,44.822,17.945,18.625,33.4139,26.412,34.6213,32.888,53.16,43.833,36.961,31.238,65.6135,4.417,R64,5,2012
Florida,SEC,121.83,97.98,0.92511,54.88,47.8116,16.92,19.122,33.5133,30.285,33.2256,29.939,53.16,46.295,38.3,34.2164,64.4204,3.22,E8,7,2012
Indiana,B10,121.24,98.288,0.918211,55.26,48.1137,19.2115,20.172,35.358,31.3131,44.515,34.3128,51.542,46.295,43.12,34.9196,66.699,5.712,S16,4,2012
Vanderbilt,SEC,116.314,94.43,0.916712,54.11,46.976,20.159,19.228,32.2171,31.7154,40.173,28.625,51.246,47.2144,38.819,30.929,64.9182,4.2,R32,5,2012
Memphis,CUSA,113.725,92.417,0.915813,54.12,43.46,18.781,20.7144,31.3207,32.8202,41.349,38.3221,53.99,42.7,36.284,31.238,67.37,3.2299999999999995,R64,8,2012
Georgetown,BE,111.737,90.712,0.915714,51.473,43.13,19.6136,19.8182,35.554,30.6106,38.8102,36.3176,51.344,43.936,34.4153,27.71,62.297,4.616,R32,3,2012
Saint Louis,A10,111.836,90.913,0.915115,51.864,45.126,17.945,23.35,31.5196,29.155,35.519,37.2195,50.9,44.445,36.671,31.65,61.2319,2.829,R32,9,2012
Louisville,BE,105.7118,86.41,0.910216,47.3242,43.34,20.7201,22.939,35.748,33.9241,36.2177,34.3128,47.2193,42.21,31.8271,30.317,65.9126,5.513,F4,4,2012
Baylor,B12,116.413,95.644,0.906317,52.35,47.6105,20.4181,21.126,38.18,32.3179,35.7186,33.4105,50.277,46.295,38.3,33.7138,65.614,7.9,E8,3,2012
Duke,ACC,117.29,96.961,0.899318,52.838,47.185,17.739,18.5257,34.774,31.9159,45.113,32.99,51.52,47.132,37.157,31.754,67.175,8.7,R64,2,2012
New Mexico,MWC,110.847,91.614,0.898519,52.838,44.416,20.159,21.3112,34.392,27.729,38.8102,31.564,50.564,43.119,37.835,31.135,65.5149,2.926,R32,5,2012
Marquette,BE,111.242,92.115,0.89792,50.1126,45.43,18.675,23.329,33.9111,35.3291,40.958,30.648,50.9,44.445,33.7192,31.65,70.18,6.111,S16,3,2012
Florida St.,ACC,108.272,90.28,0.890921,51.279,43.78,23.6324,22.264,35.456,33.1216,34.8209,34.3128,50.468,42.21,35.4114,30.929,66.5103,4.318,R32,3,2012
Cincinnati,BE,110.748,92.919,0.883022,48.2,46.246,16.818,21.597,35.748,34.4262,29.3322,26.39,46.4218,45.163,34.1169,32.374,63.2265,3.2399999999999998,S16,6,2012
Gonzaga,WCC,113.427,95.241,0.882123,53.518,46.662,19.7147,19.4202,34.679,28.37,46.17,27.514,51.836,46.6113,37.933,31.135,64.8187,2.133,R32,7,2012
Michigan,B10,114.717,96.963,0.874724,53.423,49.172,17.634,19.9177,28.3278,30.6106,28.6331,30.241,54.8,47.2144,35.1126,35.1207,60.5326,6.21,R64,4,2012
Purdue,B10,117.87,99.5108,0.874525,51.181,49.921,13.51,19.5198,31.8184,31.5143,34.123,33.8118,47.817,49.1213,37.74,34.4171,64.3215,1.838,R32,10,2012
Iowa St.,B12,113.924,96.758,0.867526,52.642,48.6159,18.358,17.2313,32.3169,26.513,38.7105,26.51,50.375,49.8242,37.352,30.623,66.1121,1.936,R32,8,2012
Alabama,SEC,105.512,89.76,0.866227,49.1167,43.78,20.2167,21.2115,33.5133,31.615,36.2177,38.2219,51.344,43.936,28.9328,28.95,61.8307,1.639,R64,9,2012
Kansas St.,B12,109.461,93.222,0.863428,48.9175,46.41,21.224,23.525,40.74,33.7236,43.225,41.8278,48.3144,44.756,33.5202,32.582,66.3109,2.134,R32,8,2012
Virginia,ACC,104.5134,89.15,0.862429,50.799,44.72,18.781,21.126,27.13,25.55,35.4193,31.255,51.149,45.369,33.232,28.95,59.5337,2.35,R64,10,2012
UNLV,MWC,109.264,93.323,0.85893,52.74,46.349,19.2115,21.3112,32.2171,30.285,35.3195,34.121,51.246,44.344,36.767,33.6134,69.29,2.828,R64,6,2012
Temple,A10,114.023,97.671,0.856931,52.934,48.4149,18.49,19.4202,31.215,31.7154,34.4217,33.6112,50.183,47.315,39.413,34.1155,66.112,4.219,R64,5,2012
California,P12,110.252,94.833,0.850733,51.765,46.559,18.255,19.4202,32.177,27.224,34.123,26.711,50.955,45.369,36.381,32.999,65.7134,1.837,R68,12,2012
Belmont,ASun,116.711,100.3132,0.850134,55.55,48.3146,17.634,20.7144,34.486,32.163,38.7105,35.6158,54.47,47.114,38.128,33.8143,66.987,0.945,R64,14,2012
North Carolina St.,ACC,112.63,97.267,0.845335,50.4118,47.185,18.781,18.3268,35.844,30.7111,36.3171,32.171,49.4109,45.781,35.511,33.2117,66.984,0.451,S16,11,2012
Connecticut,BE,111.045,96.251,0.838036,50.134,44.619,19.98,16.9319,36.332,34.8277,34.6213,25.35,50.183,40.93,33.2223,34.4171,63.268,0.549,R64,9,2012
VCU,CAA,107.487,93.121,0.837137,47.6223,47.398,17.426,27.31,33.4139,33.9241,36.3171,36.7186,46.232,46.9129,33.4208,32.17,64.9181,2.331,R32,12,2012
Creighton,MVC,119.45,103.72,0.835438,57.82,49.6196,17.739,15.3343,30.8221,26.18,38.1122,29.332,54.76,47.6162,42.43,36.1256,66.1119,4.815,R32,8,2012
South Florida,BE,103.4153,90.17,0.829739,48.319,44.114,22.5295,18.625,34.199,30.597,34.123,32.373,49.127,43.22,31.229,30.725,58.5343,5.9,R32,12,2012
St. Bonaventure,A10,112.134,97.981,0.82674,50.895,47.185,21.525,19.228,36.429,29.667,42.141,37.3197,50.468,46.295,34.5148,32.688,63.3261,-1.72,R64,14,2012
Harvard,Ivy,108.77,95.036,0.824641,52.545,45.43,20.4181,20.172,30.7223,26.917,42.43,30.241,52.125,43.322,35.6106,34.1155,60.3327,2.33,R64,12,2012
Murray St.,OVC,106.993,93.826,0.819442,53.518,45.636,20.7201,24.115,34.199,34.125,45.311,34.7142,50.468,46.3105,39.512,29.29,65.176,3.921,R32,6,2012
Texas,B12,111.638,97.982,0.818443,48.5183,46.976,18.675,20.1164,38.515,34.5266,42.633,41.527,48.215,44.651,32.8238,34.8191,64.7191,0.846,R64,11,2012
West Virginia,BE,111.44,97.879,0.816945,48.319,49.8207,19.2115,20.2162,40.93,30.179,38.6108,31.255,49.994,50.4266,29.8323,32.374,64.3213,-0.261,R64,10,2012
Long Beach St.,BW,109.362,96.656,0.805649,52.35,47.7109,19.1105,21.788,34.486,31.4136,42.633,27.918,51.932,46.189,35.511,34.1155,66.2115,1.4300000000000002,R64,12,2012
Saint Mary's,WCC,112.532,99.6112,0.802951,53.325,48.4149,18.151,18.4259,35.943,26.18,38.91,29.13,54.95,46.189,33.7192,36.6271,63.6248,2.927,R64,7,2012
Ohio,MAC,106.994,94.935,0.798153,48.9175,47.185,19.3123,26.22,33.8116,34.2255,36.3171,42.5292,47.7175,48.3192,34.17,30.16,65.8129,0.45,S16,13,2012
Notre Dame,BE,109.954,97.774,0.794756,49.5149,45.839,16.17,17.3309,30.5227,32.3179,37.4145,25.66,49.3113,45.266,33.2223,31.445,60.9323,2.232,R64,7,2012
Xavier,A10,108.275,96.86,0.78226,49.7142,45.636,18.564,18.4259,31.918,30.285,41.253,35.5157,48.7132,45.578,35.1126,30.522,66.5104,0.748,S16,10,2012
BYU,WCC,104.9126,93.928,0.782161,52.6,47.7109,18.151,21.597,30.243,26.816,36.5168,34.3128,51.932,47.8168,34.9138,31.65,71.86,0.452,R64,14,2012
Davidson,SC,111.835,100.1124,0.780863,50.991,47.293,17.222,17.5297,35.64,27.19,36.816,41.7274,51.246,45.987,33.7192,33.9147,67.369,-0.364,R64,13,2012
South Dakota St.,Sum,112.728,101.1144,0.778065,53.716,50.216,15.85,19.221800000000002,30.3236,28.646,39.679,29.837,50.856,50.4266,39.17,32.688,65.1172,-0.465,R64,14,2012
Colorado,P12,105.0125,94.631,0.768767,49.5149,46.976,19.6136,18.4259,29.2264,28.85,43.225,32.7,48.3144,45.369,34.6146,33.111,64.9183,-0.362,R32,11,2012
Iona,MAAC,114.718,103.7199,0.762068,56.54,51.1253,17.426,22.264,32.1174,32.3179,30.331,28.827,55.72,50.1257,38.72,35.4217,70.17,0.256,R68,14,2012
San Diego St.,MWC,106.3104,96.25,0.760271,50.1126,47.81,18.781,18.625,30.9218,27.19,35.8183,28.827,49.896,45.163,33.818600000000004,33.7138,65.5141,2.925,R64,6,2012
Southern Miss,CUSA,111.341,100.7137,0.759273,46.228,50.5234,16.49,21.2115,36.526,28.241,39.876,40.726,43.1318,49.2222,35.511,35.6231,63.6246,1.34,R64,9,2012
New Mexico St.,WAC,107.88,98.895,0.731782,51.86,48.3146,20.8213,20.4155,40.66,29.772,51.91,32.888,51.64,48.1183,32.8238,32.582,69.819,-1.985,R64,13,2012
Colorado St.,MWC,111.439,102.8181,0.716587,53.32,50.3228,19.6136,18.4259,28.7271,29.464,42.339,39.5242,50.183,48.5198,40.7,35.5221,63.5251,-0.971,R64,11,2012
Lehigh,Pat,107.682,99.3102,0.715888,50.4118,47.293,16.512,21.3112,31.2211,29.667,38.125,33.7113,49.4109,45.987,34.7144,33.2117,67.563,-1.174,R32,15,2012
Montana,BSky,102.4167,96.454,0.6663107,52.545,45.329,18.564,22.17,27.4296,31.615,39.581,39.234,50.468,43.322,38.226,33.3122,64.5196,-1.579,R64,13,2012
Detroit,Horz,107.585,102.818,0.6250121,48.2,50.9245,19.1105,22.457,35.259,32.6197,43.324,38.9232,49.798,48.62,29.2327,36.9289,66.89,-5.1136,R64,15,2012
Vermont,AE,103.9145,100.1123,0.6058128,49.3161,45.532,19.4126,19.7189,34.392,30.6106,37.3149,33.3103,48.6135,44.651,34.17,31.754,62.2293,-5.4139,R64,16,2012
UNC Asheville,BSth,108.869,104.8215,0.6054129,52.642,51.3259,19.2115,22.264,32.9154,35.2287,48.13,36.3176,52.82,50.7274,35.132,34.9196,68.241,-3.2102,R64,16,2012
Lamar,Slnd,106.0108,102.4172,0.5989131,46.228,46.976,17.53,20.1164,37.621,30.597,41.56,34.2125,45.3268,45.474,33.1229,34.1155,66.2114,-4.2119,R68,16,2012
Loyola MD,MAAC,103.5149,100.1126,0.5934135,47.2248,47.8116,20.6191,22.74,38.117,33.4227,42.929,39.9248,45.824,45.474,33.9177,36.1256,63.525,-1.476,R64,15,2012
LIU Brooklyn,NEC,109.363,107.9277,0.5352159,53.226,49.4191,21.4248,18.4259,34.199,34.3259,49.72,22.2,52.125,49.5234,37.157,32.895,73.12,-2.491,R64,16,2012
Norfolk St.,MEAC,100.0221,102.1168,0.4401187,49.4154,46.452,21.226,19.5198,33.712,33.211,42.536,37.3197,50.468,46.189,31.5279,31.34,66.794,-2.794,R32,15,2012
Western Kentucky,SB,97.8263,100.012,0.4375189,44.4321,47.4102,22.1272,21.1123,34.199,32.4187,40.27,38.9232,43.7308,46.9129,30.6307,32.582,67.854,-10.2218,R64,16,2012
Mississippi Valley St.,SWAC,96.0287,105.1222,0.2612269,46.3276,49.6196,20.6191,23.525,33.3141,32.3179,35.203,42.1282,44.9282,45.884,32.4251,38.1323,69.28,-4.8127,R68,16,2012
