"","team","conf","adj_oe","adj_de","barthag","efg_o","efg_d","tor","tor_d","orb","drb","ftr","ftr_d","x2p_o","x2p_d","x3p_o","x3p_d","adj_t","wab","seed"
"46","James Madison","SB",112.064,100.489,0.778269,54.434,46.723,14.742,19.839,32.081,27.6111,34.2136,35.1247,54.241,48.8103,36.533,28.62,69.862,1.534,12
"47","Grand Canyon","WAC",111.179,99.876,0.77337,52.01,45.91,17.8224,19.938,34.629,29.6208,45.35,34.8236,52.396,44.41,34.4151,32.696,68.0139,1.339,12
"48","Duquesne","A10",106.4153,96.126,0.761875,50.1206,48.052,17.5205,19.547,29.9137,30.0221,33.1164,35.3251,49.6212,48.488,33.9179,31.753,66.3253,-1.876,11
"49","McNeese St.","Slnd",111.374,101.095,0.753181,54.927,47.849,14.221,23.06,32.177,30.4239,40.618,33.9217,52.878,46.329,39.44,33.012,65.3298,0.75,12
"50","Yale","Ivy",109.896,100.18,0.743285,52.385,49.713,14.118,16.0249,28.4193,24.013,26.9332,29.084,52.594,48.8103,34.6142,34.0183,64.6324,-2.582,13
"51","Samford","SC",111.767,102.4126,0.731589,56.97,50.015,18.1249,21.717,30.2124,32.0313,36.485,37.0283,55.521,49.5137,39.38,33.9172,72.612,0.0856,13
"52","College of Charleston","CAA",113.353,105.2177,0.702399,52.482,50.6188,14.327,16.4214,33.545,26.673,26.9332,28.369,52.685,50.5179,34.8129,33.8165,70.053,-1.675,13
"53","UAB","Amer",112.859,106.3197,0.6634109,50.1206,51.0207,16.7159,16.1241,35.322,31.0274,40.52,31.414,50.417,50.217,33.122,35.0253,67.7157,-2.785,12
"54","Vermont","AE",104.5191,98.753,0.659011,51.8114,46.723,13.811,15.1299,22.4345,23.38,29.7268,25.925,53.172,46.431,33.5198,31.548,63.335,-1.271,13
"55","Akron","MAC",105.0176,101.6103,0.5947131,52.01,48.677,17.219,16.6198,29.5149,25.65,33.6152,29.084,54.83,50.7193,32.0274,30.013,65.7276,-4.5104,14
"56","Western Kentucky","CUSA",105.2175,101.8107,0.5940132,51.9107,48.367,18.3269,18.674,28.5186,26.778,32.9173,33.4203,52.1103,48.384,34.4151,32.278,75.11,-6.6135,15
"57","Morehead St.","OVC",106.7149,103.4142,0.5887134,54.434,45.79,18.5279,15.528,32.081,26.468,31.3227,32.7183,55.62,45.416,35.3102,31.132,64.3333,-3.488,14
"58","Oakland","Horz",107.8131,104.6162,0.5856137,52.192,50.6188,16.2113,16.3225,30.6115,28.6155,30.9237,26.837,51.8113,50.5179,35.1114,33.9172,66.8223,-4.21,14
"59","South Dakota St.","Sum",107.6137,104.4154,0.5838138,55.318,50.8195,16.4134,16.5207,24.4302,25.334,30.4248,27.446,55.918,49.0111,36.248,35.2265,67.9146,-7.4148,15
"60","Colgate","Pat",102.3226,101.8109,0.5130159,53.453,47.23,16.3122,16.1241,25.0298,24.518,27.6316,24.513,53.365,48.71,35.775,29.91,66.2256,-4.198,14
"61","Longwood","BSth",104.0202,104.8167,0.477617,49.4238,51.3221,18.0242,19.645,36.713,25.541,39.532,36.1271,48.6253,50.9203,34.2158,34.6233,66.822,-8.6172,16
"62","Long Beach St.","BW",105.4174,107.9233,0.4314191,48.9255,51.2217,17.1182,18.584,33.351,29.6208,38.152,32.6176,49.7208,50.0155,31.3301,35.1262,71.423,-8.0163,15
"63","Montana St.","BSky",102.922,105.8189,0.41962,53.944,52.3278,16.8166,18.674,20.7356,28.6155,30.7242,37.0283,53.456,54.1328,36.442,32.696,68.5111,-12.6268,16
"64","Saint Peter's","MAAC",96.8314,100.281,0.4039208,45.0349,46.621,19.6323,20.331,35.123,29.4197,38.152,42.3339,42.4359,46.431,33.9179,31.548,64.0337,-8.8175,15
"65","Stetson","ASun",108.3118,114.0347,0.3558231,53.453,52.0259,15.891,13.5344,27.5226,31.2285,31.7213,25.925,52.594,52.226,36.533,34.523,66.0264,-6.8137,16
"66","Howard","MEAC",104.5192,112.9335,0.2914268,52.01,50.9198,21.4352,16.7191,33.446,30.726,42.211,39.131,49.2227,50.8198,37.519,34.0183,67.7161,-12.1253,16
"67","Grambling St.","SWAC",97.7306,106.0191,0.2805273,48.2273,49.197,20.5339,19.058,28.1208,32.7325,39.63,33.9217,47.0301,48.488,34.1165,33.716,64.9313,-8.0162,16
"68","Wagner","NEC",95.0333,105.0174,0.2397295,44.6353,48.47,15.996,17.0166,29.5149,27.092,26.8334,29.9107,42.8358,50.9203,31.6291,29.91,61.3361,-11.7241,16
