"","School","Conf","W","L","PPG","PPG_Allowed","Pace","MOV","SOS","OSRS","DSRS","Adj_ORtg","Adj_DRtg","year"
"57","Marquette","Big East",21,11,67.1,59.2,70.2,7.88,6.93,4.52,8.76,97.99,80.11,2025
"58","Texas Tech","Big 12",19,18,63.7,63.2,69.2,0.49,12.67,3.14,10.03,98.5,80.93,2025
"59","Virginia","ACC",17,15,70.1,67.5,72.8,2.59,10.55,9.18,3.96,101.83,84.99,2025
"60","Middle Tennessee","CUSA",26,9,64,52.2,66.4,11.8,1,-1.48,14.28,95.66,77.72,2025
"61","Saint Joseph's","A-10",24,10,69,56.4,66.1,12.59,1.95,5.35,7.39,103.62,85.11,2025
"62","Penn State","Big Ten",10,19,72.1,71.7,75,0.45,12.27,11.98,0.74,102.12,86.51,2025
"63","Boston College","ACC",16,18,73.1,70.9,74.3,2.18,10.47,12.85,-0.2,104,87.89,2025
"64","Princeton","Ivy",21,8,66.7,57.2,65.5,9.48,3.14,4.38,8.24,104.35,85.76,2025
"65","Grand Canyon","WAC",32,3,76.7,57.2,72.3,19.51,-4.59,7.01,5.37,102.75,85.89,2025
"66","Villanova","Big East",21,15,63.8,64.5,67.8,-0.69,12.93,5.59,6.64,101.88,85.63,2025
"67","Kansas","Big 12",16,14,65.7,66.8,69.5,-1.07,13.21,5.61,6.54,103.02,87,2025
"68","Montana State","Big Sky",30,4,71.9,55.9,71.1,15.94,-1.73,4.69,7.36,98.84,82.88,2025
"69","Missouri State","MVC",26,9,73.8,63.7,71.6,10.09,1.77,7.57,4.29,101.17,85.69,2025
"70","James Madison","Sun Belt",30,6,73.1,63.5,73.1,9.56,2.2,8.17,3.59,99.81,84.21,2025
"71","Syracuse","ACC",12,18,70.5,71.4,72.8,-0.9,12.38,9.92,1.56,102.92,88.07,2025
"72","Drake","MVC",22,12,78,70,73.2,7.97,3.48,12.92,-1.47,106.27,91.15,2025
"73","South Florida","AAC",23,11,66,61.6,68.1,4.35,7,3.89,7.46,101.6,86.43,2025
"74","St. John's (NY)","Big East",16,15,60.5,56.6,64.1,3.87,7.43,0.78,10.52,100.64,84.3,2025
"75","Seton Hall","Big East",23,10,62.3,58.9,67.6,3.39,7.83,2.07,9.15,97.93,82.48,2025
"76","Ball State","MAC",27,8,72.5,60.5,71.7,12.06,1.06,6.13,5.08,99.26,84.84,2025
"77","Miami (FL)","ACC",14,15,69.2,70.8,71.4,-1.59,12.35,7.98,2.78,103.42,89.77,2025
"78","BYU","Big 12",13,17,67.9,68.6,71.6,-0.7,11.42,7.72,3.01,100.19,85.83,2025
"79","Florida Gulf Coast","A-Sun",30,4,71.7,54,68.1,17.74,-5.26,1.99,8.53,100.35,84.87,2025
"80","Cincinnati","Big 12",15,14,65.6,67,70.1,-1.45,11.91,5.66,4.8,100.14,85.96,2025
"81","Fairfield","MAAC",28,5,71.9,55,68.9,16.94,-5.72,4.59,5.7,100.9,86.3,2025
"82","Liberty","CUSA",26,7,72.1,60.2,69.5,11.85,1.41,6.14,3.66,103.13,89.31,2025
"83","UTSA","AAC",26,5,66,56.5,68.7,9.55,-0.1,1,8.45,97.45,84.33,2025
"84","Georgia","SEC",13,19,63.8,68.2,71.1,-4.31,13.65,2.96,6.38,97.31,86.28,2025
"85","Northern Iowa","MVC",17,17,74.1,69.4,72.6,4.65,5.74,9.35,-0.13,102.25,90.44,2025
"86","Portland","WCC",31,5,75.7,63.4,71.7,12.36,-1.72,9.8,-0.72,101.96,90.16,2025
"87","Wyoming","MWC",22,12,65.1,59,65,6.15,3.45,-0.18,8.97,98.84,86.34,2025
"88","Texas A&M","SEC",10,19,61.5,68.9,70.8,-7.41,16.08,2.08,6.6,96.41,86.08,2025
"89","Green Bay","Horizon",29,6,68.3,56.5,65.9,11.86,-1.99,0.83,7.76,102.41,88.87,2025
"90","Wisconsin","Big Ten",13,17,65.5,71.7,68.5,-6.17,14.66,6.51,1.98,103.14,92.8,2025
"91","Norfolk State","MEAC",30,5,74.3,56.6,72,17.63,-7.18,4.39,3.95,96.74,86.25,2025
"92","Wake Forest","ACC",9,20,61.6,65.9,69.6,-4.31,12.46,1.46,6.69,95.07,84.67,2025
"93","Rutgers","Big Ten",13,20,67.8,71.2,72.5,-3.39,11.2,7.05,0.76,98.65,89.23,2025
"94","Southern Methodist","ACC",10,20,64.6,68.7,70.9,-4.13,11.69,3.82,3.74,96.56,87.25,2025
"95","Gonzaga","WCC",24,11,68.4,64.4,67.4,4,3.54,5.02,2.51,101.46,91.39,2025
"96","Northwestern","Big Ten",9,18,68.2,74.7,73.2,-6.56,14,8.71,-1.27,99.43,89.86,2025
"97","Colorado State","MWC",22,10,68.5,60.4,67,8.03,1.29,2.78,4.51,101.14,90.72,2025
