team1,seed1,region,team2,seed2,PPG_team1,PPG_Allowed_team1,Pace_team1,MOV_team1,SOS_team1,OSRS_team1,DSRS_team1,Adj_ORtg_team1,Adj_DRtg_team1,year_team1,PPG_team2,PPG_Allowed_team2,Pace_team2,MOV_team2,SOS_team2,OSRS_team2,DSRS_team2,Adj_ORtg_team2,Adj_DRtg_team2,year_team2,PPG_diff,PPG_Allowed_diff,Pace_diff,MOV_diff,SOS_diff,OSRS_diff,DSRS_diff,Adj_ORtg_diff,Adj_DRtg_diff
UConn,1,FORT WORTH 1,Texas Christian,3,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,77.6,56.3,70.6,21.26,10.82,15.89,16.19,114.52,71.73,2026,11.200000000000003,-5.899999999999999,3,17.12,2.709999999999999,13.689999999999998,6.139999999999997,14.209999999999994,-12.600000000000001
UConn,1,FORT WORTH 1,West Virginia,4,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,76.3,58.1,72.5,18.18,13.74,16.77,15.15,113.82,71.66,2026,12.5,-7.700000000000003,1.0999999999999943,20.200000000000003,-0.21000000000000085,12.809999999999999,7.179999999999998,14.909999999999997,-12.529999999999994
UConn,1,FORT WORTH 1,Kentucky,5,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,75.6,60.2,69.8,15.39,16.07,15.85,15.61,116.1,73.46,2026,13.200000000000003,-9.800000000000004,3.799999999999997,22.990000000000002,-2.540000000000001,13.729999999999999,6.719999999999999,12.629999999999995,-14.329999999999991
UConn,1,FORT WORTH 1,UNC,4,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,75.4,59,70.2,16.45,12.61,15.06,14.01,111.6,73.02,2026,13.399999999999991,-8.600000000000001,3.3999999999999915,21.930000000000003,0.9199999999999999,14.519999999999998,8.319999999999999,17.129999999999995,-13.889999999999993
UConn,1,FORT WORTH 1,Ole Miss,5,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,75.4,62,71.5,13.44,14.96,15.7,12.7,112.41,75.48,2026,13.399999999999991,-11.600000000000001,2.0999999999999943,24.940000000000005,-1.4300000000000015,13.879999999999999,9.629999999999999,16.319999999999993,-16.35
UConn,1,FORT WORTH 1,USC,9,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,69.9,62.9,71.9,7.07,21.08,12.47,15.67,108.35,70.55,2026,18.89999999999999,-12.5,1.6999999999999886,31.310000000000002,-7.549999999999999,17.11,6.659999999999998,20.379999999999995,-11.419999999999995
UConn,1,FORT WORTH 1,Tennessee,10,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,77,69.4,75.8,7.55,20.45,19.92,8.08,112.31,75.98,2026,11.799999999999997,-19.000000000000007,-2.200000000000003,30.830000000000002,-6.92,9.659999999999997,14.249999999999998,16.419999999999987,-16.85
UConn,1,FORT WORTH 1,Notre Dame,6,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,77.9,64.9,73.5,13,14.81,18.2,9.61,113,76.94,2026,10.899999999999991,-14.500000000000007,0.09999999999999432,25.380000000000003,-1.2800000000000011,11.379999999999999,12.719999999999999,15.72999999999999,-17.809999999999995
UConn,1,FORT WORTH 1,Nebraska,11,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,79.3,67.7,72.3,11.63,15.75,19.07,8.31,117.08,80.15,2026,9.5,-17.300000000000004,1.2999999999999972,26.75,-2.2200000000000006,10.509999999999998,14.019999999999998,11.649999999999991,-21.020000000000003
UConn,1,FORT WORTH 1,Oregon,8,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,74.7,64.5,72.8,10.21,16.35,15.53,11.03,109.75,74.34,2026,14.099999999999994,-14.100000000000001,0.7999999999999972,28.17,-2.820000000000002,14.049999999999999,11.299999999999999,18.97999999999999,-15.21
UConn,1,FORT WORTH 1,NC State,7,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,77.2,66.5,73.2,10.73,15.72,18.06,8.39,112.57,77.78,2026,11.599999999999994,-16.1,0.3999999999999915,27.650000000000002,-2.1900000000000013,11.52,13.939999999999998,16.159999999999997,-18.65
UConn,1,FORT WORTH 1,Washington,6,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,71.7,62.2,68.5,9.48,16.72,12.88,13.32,112.61,76.51,2026,17.099999999999994,-11.800000000000004,5.099999999999994,28.900000000000002,-3.1899999999999995,16.699999999999996,9.009999999999998,16.11999999999999,-17.380000000000003
UConn,1,FORT WORTH 1,Oklahoma State,8,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,81.5,63.4,72.7,18.06,9.26,18.28,7.37,116.21,82.7,2026,7.299999999999997,-13,0.8999999999999915,20.320000000000004,4.27,11.299999999999997,14.959999999999997,12.519999999999996,-23.57
UConn,1,FORT WORTH 1,Illinois,7,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,77.5,66.1,71.8,11.38,14.12,16.24,9.26,113.64,79.66,2026,11.299999999999997,-15.699999999999996,1.7999999999999972,27,-0.5899999999999999,13.34,13.069999999999999,15.08999999999999,-20.529999999999994
UConn,1,FORT WORTH 1,Alabama,6,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,70.1,61.5,69.6,8.58,16.78,11.47,13.89,110.02,75.52,2026,18.700000000000003,-11.100000000000001,4,29.800000000000004,-3.2500000000000018,18.11,8.439999999999998,18.709999999999994,-16.389999999999993
UConn,1,FORT WORTH 1,Iowa State,8,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,82.3,67.2,73.5,15.16,9.64,21.26,3.54,117.7,84.45,2026,6.5,-16.800000000000004,0.09999999999999432,23.220000000000002,3.889999999999999,8.319999999999997,18.79,11.029999999999987,-25.32
UConn,1,FORT WORTH 1,Texas Tech,7,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,72,58.1,71.3,13.91,10.71,10.88,13.74,106.99,74.3,2026,16.799999999999997,-7.700000000000003,2.299999999999997,24.470000000000002,2.8199999999999985,18.699999999999996,8.589999999999998,21.739999999999995,-15.169999999999995
UConn,1,FORT WORTH 1,Baylor,6,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,71.4,60,71.9,11.47,12.84,12.2,12.11,105.69,72.88,2026,17.39999999999999,-9.600000000000001,1.6999999999999886,26.910000000000004,0.6899999999999995,17.38,10.219999999999999,23.039999999999992,-13.749999999999993
UConn,1,FORT WORTH 1,Georgia,7,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,73.6,61.5,71.4,12.1,11.83,12.6,11.33,109.67,77.91,2026,15.200000000000003,-11.100000000000001,2.1999999999999886,26.28,1.6999999999999993,16.979999999999997,10.999999999999998,19.059999999999988,-18.779999999999994
UConn,1,FORT WORTH 1,Villanova,10,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,71.8,61.4,71.4,10.47,11.27,12.28,9.47,107.64,77.62,2026,17,-11,2.1999999999999886,27.910000000000004,2.26,17.299999999999997,12.859999999999998,21.08999999999999,-18.490000000000002
UConn,1,FORT WORTH 1,Virginia,10,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,75.3,64.3,69.5,10.97,9.73,13.86,6.84,110.29,82.33,2026,13.5,-13.899999999999999,4.099999999999994,27.410000000000004,3.799999999999999,15.719999999999999,15.489999999999998,18.439999999999984,-23.199999999999996
UConn,1,FORT WORTH 1,Syracuse,9,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,74.5,63.4,72.2,11.06,9.49,13.44,7.12,105.07,78.31,2026,14.299999999999997,-13,1.3999999999999915,27.32,4.039999999999999,16.14,15.209999999999997,23.659999999999997,-19.18
UConn,1,FORT WORTH 1,Virginia Tech,9,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,72.9,61.3,73.1,11.59,8.96,11.29,9.26,103.49,76.88,2026,15.899999999999991,-10.899999999999999,0.5,26.790000000000003,4.5699999999999985,18.29,13.069999999999999,25.239999999999995,-17.749999999999993
UConn,1,FORT WORTH 1,Colorado,10,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,67.8,60.7,70.4,7.12,13.39,8.04,12.47,103.13,75.76,2026,21,-10.300000000000004,3.1999999999999886,31.26,0.1399999999999988,21.54,9.859999999999998,25.599999999999994,-16.630000000000003
UConn,1,FORT WORTH 1,Clemson,8,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,67.7,58.7,65.7,9,9.78,5.93,12.84,107.41,81.67,2026,21.099999999999994,-8.300000000000004,7.8999999999999915,29.380000000000003,3.75,23.65,9.489999999999998,21.319999999999993,-22.54
UConn,1,FORT WORTH 1,James Madison,12,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,74.8,61.1,72,13.71,3.98,9.88,7.81,103.79,79.96,2026,14,-10.700000000000003,1.5999999999999943,24.67,9.549999999999999,19.699999999999996,14.52,24.939999999999984,-20.82999999999999
UConn,1,FORT WORTH 1,Richmond,11,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,72.6,59,66.8,13.61,3.72,10.09,7.23,109.97,85.55,2026,16.200000000000003,-8.600000000000001,6.799999999999997,24.770000000000003,9.809999999999999,19.49,15.099999999999998,18.75999999999999,-26.419999999999995
UConn,1,FORT WORTH 1,Arizona State,10,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,66.5,60.6,71.6,5.94,11.3,4.94,12.29,98.49,75.55,2026,22.299999999999997,-10.200000000000003,2,32.440000000000005,2.2299999999999986,24.639999999999997,10.04,30.239999999999995,-16.419999999999995
UConn,1,FORT WORTH 1,South Dakota State,11,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,76.6,61.2,69.8,15.33,1.91,10.75,6.49,108.57,84.39,2026,12.200000000000003,-10.800000000000004,3.799999999999997,23.050000000000004,11.62,18.83,15.839999999999998,20.159999999999997,-25.259999999999998
UConn,1,FORT WORTH 1,Princeton,9,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,72.5,60,67,12.52,3.59,9.87,6.23,109.31,86.61,2026,16.299999999999997,-9.600000000000001,6.599999999999994,25.860000000000003,9.94,19.71,16.099999999999998,19.419999999999987,-27.479999999999997
UConn,1,FORT WORTH 1,Rhode Island,11,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,67.7,53.8,65.7,13.91,1.34,3.54,10.35,102.97,82.95,2026,21.099999999999994,-3.3999999999999986,7.8999999999999915,24.470000000000002,12.19,26.04,11.979999999999999,25.75999999999999,-23.82
UConn,1,FORT WORTH 1,Gonzaga,12,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,74.4,64.5,70,9.88,3.83,10.43,3.28,105.59,86.8,2026,14.399999999999991,-14.100000000000001,3.5999999999999943,28.5,9.7,19.15,19.049999999999997,23.139999999999986,-27.669999999999995
UConn,1,FORT WORTH 1,Fairfield,11,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,75.5,55.8,69.4,19.72,-7.88,7.72,4.12,104.05,87.57,2026,13.299999999999997,-5.399999999999999,4.199999999999989,18.660000000000004,21.41,21.86,18.209999999999997,24.679999999999993,-28.43999999999999
UConn,1,FORT WORTH 1,Colorado State,12,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,66.5,54.9,66.2,11.65,-0.08,1.15,9.41,99.95,84.68,2026,22.299999999999997,-4.5,7.3999999999999915,26.730000000000004,13.61,28.43,12.919999999999998,28.779999999999987,-25.550000000000004
UConn,1,FORT WORTH 1,Miami (OH),13,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,71,58.5,70.7,12.53,-1.86,1.89,6.66,95.82,84.13,2026,17.799999999999997,-8.100000000000001,2.8999999999999915,25.85,15.389999999999999,27.689999999999998,15.669999999999998,32.91,-24.999999999999993
UConn,1,FORT WORTH 1,Murray State,12,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,86.1,73.1,76.2,13,-3.27,16.66,-8.26,106.71,95.98,2026,2.700000000000003,-22.699999999999996,-2.6000000000000085,25.380000000000003,16.8,12.919999999999998,30.589999999999996,22.019999999999996,-36.85
UConn,1,FORT WORTH 1,Green Bay,13,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,68.7,58.6,68.8,10.06,-2.19,1.49,5.2,95.63,86.51,2026,20.099999999999994,-8.200000000000003,4.799999999999997,28.32,15.719999999999999,28.09,17.13,33.099999999999994,-27.380000000000003
UConn,1,FORT WORTH 1,Idaho,13,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,77.1,64.4,75.9,12.71,-4.31,8.33,-1.73,96.28,88.4,2026,11.700000000000003,-14.000000000000007,-2.3000000000000114,25.67,17.84,21.25,24.06,32.44999999999999,-29.270000000000003
UConn,1,FORT WORTH 1,Western Illinois,13,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,75.9,60.1,70.8,15.77,-6.3,5.73,0.33,101.16,92.06,2026,12.899999999999991,-9.700000000000003,2.799999999999997,22.610000000000003,19.83,23.849999999999998,22,27.569999999999993,-32.93
UConn,1,FORT WORTH 1,Vermont,14,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,65.8,51.6,62.8,14.15,-5.9,-3.21,7.94,96.13,88.33,2026,23,-1.2000000000000028,10.799999999999997,24.230000000000004,19.43,32.79,14.389999999999997,32.599999999999994,-29.199999999999996
UConn,1,FORT WORTH 1,UTSA,16,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,60,57.8,69.3,2.18,3.54,-5.21,9.68,89.36,83.12,2026,28.799999999999997,-7.399999999999999,4.299999999999997,36.2,9.989999999999998,34.79,12.649999999999999,39.36999999999999,-23.990000000000002
UConn,1,FORT WORTH 1,College of Charleston,14,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,74.3,58.1,71.1,16.28,-7.85,3.69,0.22,97.5,92.15,2026,14.5,-7.700000000000003,2.5,22.1,21.38,25.889999999999997,22.11,31.22999999999999,-33.02
UConn,1,FORT WORTH 1,California Baptist,16,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,72.8,66.3,74.7,6.52,-2.63,6.58,-2.7,94.92,90.49,2026,16,-15.899999999999999,-1.1000000000000085,31.860000000000003,16.16,23,25.029999999999998,33.80999999999999,-31.359999999999992
UConn,1,FORT WORTH 1,Missouri State,16,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,65.7,61,71.9,4.68,-0.89,0.13,3.65,90.35,85.75,2026,23.099999999999994,-10.600000000000001,1.6999999999999886,33.7,14.42,29.45,18.68,38.379999999999995,-26.619999999999997
UConn,1,FORT WORTH 1,UC San Diego,14,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,71.1,61.9,72,9.19,-4.21,3.22,0.51,94.03,88.96,2026,17.700000000000003,-11.5,1.5999999999999943,29.190000000000005,17.74,26.36,21.819999999999997,34.69999999999999,-29.82999999999999
UConn,1,FORT WORTH 1,Jacksonville,15,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,72.9,66.7,76.7,6.22,-4.48,5.5,-4.98,91.31,91.2,2026,15.899999999999991,-16.300000000000004,-3.1000000000000085,32.160000000000004,18.009999999999998,24.08,27.31,37.41999999999999,-32.07
UConn,1,FORT WORTH 1,High Point,15,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,74.2,58.8,72.7,15.44,-13.2,1.93,-2.07,91.78,92.89,2026,14.599999999999994,-8.399999999999999,0.8999999999999915,22.940000000000005,26.729999999999997,27.65,24.4,36.94999999999999,-33.76
UConn,1,FORT WORTH 1,FDU,15,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,69.1,51.3,64.8,17.79,-16.93,-5.32,4.23,92.91,92.76,2026,19.700000000000003,-0.8999999999999986,8.799999999999997,20.590000000000003,30.46,34.9,18.099999999999998,35.81999999999999,-33.63
UConn,1,FORT WORTH 1,Howard,14,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,66.9,59.9,72.2,7,-8.71,-1.29,-0.42,88.63,91.86,2026,21.89999999999999,-9.5,1.3999999999999915,31.380000000000003,22.240000000000002,30.869999999999997,22.75,40.099999999999994,-32.73
UConn,1,FORT WORTH 1,Holy Cross,15,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,61.3,56.8,67.5,4.5,-6.24,-4.8,3.07,85.92,88.94,2026,27.5,-6.399999999999999,6.099999999999994,33.88,19.77,34.379999999999995,19.259999999999998,42.80999999999999,-29.809999999999995
UConn,1,FORT WORTH 1,Stephen F. Austin,16,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,75.3,66.4,76,8.91,-9.08,5.89,-7.69,93.62,96.55,2026,13.5,-16.000000000000007,-2.4000000000000057,29.470000000000002,22.61,23.689999999999998,30.02,35.109999999999985,-37.419999999999995
UConn,1,FORT WORTH 1,Southern,16,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,61.9,59.1,72,2.81,-7.29,-7.63,0.7,82.34,91.91,2026,26.9,-8.700000000000003,1.5999999999999943,35.57,20.82,37.21,21.63,46.389999999999986,-32.779999999999994
UConn,1,FORT WORTH 1,Samford,16,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,60.2,64.7,66.7,-4.47,-4.44,-7.43,-4.92,84.75,103.24,2026,28.599999999999994,-14.300000000000004,6.8999999999999915,42.85,17.97,37.01,27.25,43.97999999999999,-44.10999999999999
UCLA,1,SACRAMENTO 2,UConn,1,85.1,57,69.7,28.13,20.86,27.66,21.32,132.47,65.02,2026,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,-3.700000000000003,6.600000000000001,-3.8999999999999915,-10.250000000000004,7.33,-1.9199999999999982,-1.009999999999998,3.740000000000009,5.8899999999999935
UCLA,1,SACRAMENTO 2,South Carolina,1,85.1,57,69.7,28.13,20.86,27.66,21.32,132.47,65.02,2026,86.3,57.9,73.5,28.35,19.26,28.48,19.14,126.99,64.7,2026,-1.2000000000000028,-0.8999999999999986,-3.799999999999997,-0.22000000000000242,1.5999999999999979,-0.8200000000000003,2.1799999999999997,5.480000000000004,0.3199999999999932
UCLA,1,SACRAMENTO 2,LSU,2,85.1,57,69.7,28.13,20.86,27.66,21.32,132.47,65.02,2026,94.5,60.8,78.6,33.63,13.18,33.96,12.85,125.67,68.06,2026,-9.400000000000006,-3.799999999999997,-8.899999999999991,-5.5000000000000036,7.68,-6.300000000000001,8.47,6.799999999999997,-3.0400000000000063
UCLA,1,SACRAMENTO 2,Texas,1,85.1,57,69.7,28.13,20.86,27.66,21.32,132.47,65.02,2026,85,56.6,73.3,28.32,18.19,26.21,20.31,125.14,64.05,2026,0.09999999999999432,0.3999999999999986,-3.5999999999999943,-0.19000000000000128,2.669999999999998,1.4499999999999993,1.0100000000000016,7.329999999999998,0.9699999999999989
UCLA,1,SACRAMENTO 2,Michigan,2,85.1,57,69.7,28.13,20.86,27.66,21.32,132.47,65.02,2026,83.6,63,75.1,20.68,18.86,24.62,14.92,118.19,66.93,2026,1.5,-6,-5.3999999999999915,7.449999999999999,2,3.039999999999999,6.4,14.280000000000001,-1.9100000000000108
