"","seed1","team1","seed2","team2","score1","score2","winner","region","year"
"88",5,"Gonzaga",4,"Kansas",89,68,"Gonzaga","region2",2024
"89",11,"Oregon",3,"Creighton",73,86,"Creighton","region2",2024
"90",7,"Texas",2,"Tennessee",58,62,"Tennessee","region2",2024
"91",1,"Purdue",5,"Gonzaga",80,68,"Purdue","region2",2024
"92",3,"Creighton",2,"Tennessee",75,82,"Tennessee","region2",2024
"93",1,"Purdue",2,"Tennessee",72,66,"Purdue","region2",2024
"94",1,"Houston",16,"Longwood",86,46,"Houston","region3",2024
"95",8,"Nebraska",9,"Texas A&M",83,98,"Texas A&M","region3",2024
"96",5,"Wisconsin",12,"James Madison",61,72,"James Madison","region3",2024
"97",4,"Duke",13,"Vermont",64,47,"Duke","region3",2024
"98",6,"Texas Tech",11,"NC State",67,80,"NC State","region3",2024
"99",3,"Kentucky",14,"Oakland",76,80,"Oakland","region3",2024
"100",7,"Florida",10,"Colorado",100,102,"Colorado","region3",2024
"101",2,"Marquette",15,"Western Kentucky",87,69,"Marquette","region3",2024
"102",1,"Houston",9,"Texas A&M",100,95,"Houston","region3",2024
"103",12,"James Madison",4,"Duke",55,93,"Duke","region3",2024
"104",11,"NC State",14,"Oakland",79,73,"NC State","region3",2024
"105",10,"Colorado",2,"Marquette",77,81,"Marquette","region3",2024
"106",1,"Houston",4,"Duke",51,54,"Duke","region3",2024
"107",11,"NC State",2,"Marquette",67,58,"NC State","region3",2024
"108",4,"Duke",11,"NC State",64,76,"NC State","region3",2024
"109",1,"UNC",16,"Wagner",90,62,"UNC","region4",2024
"110",8,"Mississippi State",9,"Michigan State",51,69,"Michigan State","region4",2024
"111",5,"Saint Mary's",12,"Grand Canyon",66,75,"Grand Canyon","region4",2024
"112",4,"Alabama",13,"College of Charleston",109,96,"Alabama","region4",2024
"113",6,"Clemson",11,"New Mexico",77,56,"Clemson","region4",2024
"114",3,"Baylor",14,"Colgate",92,67,"Baylor","region4",2024
"115",7,"Dayton",10,"Nevada",63,60,"Dayton","region4",2024
"116",2,"Arizona",15,"Long Beach State",85,65,"Arizona","region4",2024
"117",1,"UNC",9,"Michigan State",85,69,"UNC","region4",2024
"118",12,"Grand Canyon",4,"Alabama",61,72,"Alabama","region4",2024
"119",6,"Clemson",3,"Baylor",72,64,"Clemson","region4",2024
"120",7,"Dayton",2,"Arizona",68,78,"Arizona","region4",2024
"121",1,"UNC",4,"Alabama",87,89,"Alabama","region4",2024
"122",6,"Clemson",2,"Arizona",77,72,"Clemson","region4",2024
"123",4,"Alabama",6,"Clemson",89,82,"Alabama","region4",2024
"124",1,"UConn",4,"Alabama",86,72,"UConn","final four",2024
"125",1,"Purdue",11,"NC State",63,50,"Purdue","final four",2024
"126",1,"UConn",1,"Purdue",75,60,"UConn","championship",2024
"127",1,"Purdue",16,"FDU",58,63,"FDU","region1",2023
"128",8,"Memphis",9,"Florida Atlantic",65,66,"Florida Atlantic","region1",2023
"129",5,"Duke",12,"Oral Roberts",74,51,"Duke","region1",2023
"130",4,"Tennessee",13,"Louisiana",58,55,"Tennessee","region1",2023
"131",6,"Kentucky",11,"Providence",61,53,"Kentucky","region1",2023
"132",3,"Kansas State",14,"Montana State",77,65,"Kansas State","region1",2023
"133",7,"Michigan State",10,"USC",72,62,"Michigan State","region1",2023
"134",2,"Marquette",15,"Vermont",78,61,"Marquette","region1",2023
"135",16,"FDU",9,"Florida Atlantic",70,78,"Florida Atlantic","region1",2023
"136",5,"Duke",4,"Tennessee",52,65,"Tennessee","region1",2023
"137",6,"Kentucky",3,"Kansas State",69,75,"Kansas State","region1",2023
"138",7,"Michigan State",2,"Marquette",69,60,"Michigan State","region1",2023
"139",9,"Florida Atlantic",4,"Tennessee",62,55,"Florida Atlantic","region1",2023
"140",3,"Kansas State",7,"Michigan State",98,93,"Kansas State","region1",2023
"141",9,"Florida Atlantic",3,"Kansas State",79,76,"Florida Atlantic","region1",2023
"142",1,"Houston",16,"Northern Kentucky",63,52,"Houston","region2",2023
"143",8,"Iowa",9,"Auburn",75,83,"Auburn","region2",2023
"144",5,"Miami (FL)",12,"Drake",63,56,"Miami (FL)","region2",2023
"145",4,"Indiana",13,"Kent State",71,60,"Indiana","region2",2023
"146",6,"Iowa State",11,"Pitt",41,59,"Pitt","region2",2023
"147",3,"Xavier",14,"Kennesaw State",72,67,"Xavier","region2",2023
"148",7,"Texas A&M",10,"Penn State",59,76,"Penn State","region2",2023
"149",2,"Texas",15,"Colgate",81,61,"Texas","region2",2023
"150",1,"Houston",9,"Auburn",81,64,"Houston","region2",2023
"151",5,"Miami (FL)",4,"Indiana",85,69,"Miami (FL)","region2",2023
"152",11,"Pitt",3,"Xavier",73,84,"Xavier","region2",2023
"153",10,"Penn State",2,"Texas",66,71,"Texas","region2",2023
"154",1,"Houston",5,"Miami (FL)",75,89,"Miami (FL)","region2",2023
"155",3,"Xavier",2,"Texas",71,83,"Texas","region2",2023
"156",5,"Miami (FL)",2,"Texas",88,81,"Miami (FL)","region2",2023
"157",1,"Alabama",16,"Texas A&M-Corpus Christi",96,75,"Alabama","region3",2023
"158",8,"Maryland",9,"West Virginia",67,65,"Maryland","region3",2023
"159",5,"San Diego State",12,"College of Charleston",63,57,"San Diego State","region3",2023
"160",4,"Virginia",13,"Furman",67,68,"Furman","region3",2023
"161",6,"Creighton",11,"NC State",72,63,"Creighton","region3",2023
"162",3,"Baylor",14,"UCSB",74,56,"Baylor","region3",2023
"163",7,"Missouri",10,"Utah State",76,65,"Missouri","region3",2023
"164",2,"Arizona",15,"Princeton",55,59,"Princeton","region3",2023
"165",1,"Alabama",8,"Maryland",73,51,"Alabama","region3",2023
"166",5,"San Diego State",13,"Furman",75,52,"San Diego State","region3",2023
"167",6,"Creighton",3,"Baylor",85,76,"Creighton","region3",2023
"168",7,"Missouri",15,"Princeton",63,78,"Princeton","region3",2023
"169",1,"Alabama",5,"San Diego State",64,71,"San Diego State","region3",2023
"170",6,"Creighton",15,"Princeton",86,75,"Creighton","region3",2023
"171",5,"San Diego State",6,"Creighton",57,56,"San Diego State","region3",2023
"172",1,"Kansas",16,"Howard",92,49,"Stanford","region4",2023
"173",8,"Arkansas",9,"Illinois",73,63,"Arkansas","region4",2023
"174",5,"Saint Mary's",12,"VCU",63,51,"Saint Mary's","region4",2023
"175",4,"UConn",13,"Iona",87,63,"UConn","region4",2023
"176",6,"TCU",11,"Arizona State",72,70,"TCU","region4",2023
"177",3,"Gonzaga",14,"Grand Canyon",82,70,"Gonzaga","region4",2023
"178",7,"Northwestern",10,"Boise State",75,67,"Northwestern","region4",2023
"179",2,"UCLA",15,"UNC Asheville",86,53,"UCLA","region4",2023
"180",1,"Kansas",8,"Arkansas",71,72,"Arkansas","region4",2023
"181",5,"Saint Mary's",4,"UConn",55,70,"UConn","region4",2023
"182",6,"TCU",3,"Gonzaga",81,84,"Gonzaga","region4",2023
"183",7,"Northwestern",2,"UCLA",63,68,"UCLA","region4",2023
"184",8,"Arkansas",4,"UConn",65,88,"UConn","region4",2023
"185",3,"Gonzaga",2,"UCLA",79,76,"Gonzaga","region4",2023
"186",4,"UConn",3,"Gonzaga",82,54,"UConn","region4",2023
"187",9,"Florida Atlantic",5,"San Diego State",71,72,"San Diego State","final four",2023
"188",5,"Miami (FL)",4,"UConn",59,72,"UConn","final four",2023
"189",5,"San Diego State",4,"UConn",59,76,"UConn","championship",2023
"190",1,"Baylor",16,"Norfolk State",85,49,"Baylor","region1",2022
"191",8,"UNC",9,"Marquette",95,63,"UNC","region1",2022
"192",5,"Saint Mary's",12,"Indiana",82,53,"Saint Mary's","region1",2022
"193",4,"UCLA",13,"Akron",57,53,"UCLA","region1",2022
"194",6,"Texas",11,"Virginia Tech",81,73,"Texas","region1",2022
"195",3,"Purdue",14,"Yale",78,56,"Purdue","region1",2022
"196",7,"Murray State",10,"San Francisco",92,87,"Murray State","region1",2022
"197",2,"Kentucky",15,"St. Peter's",79,85,"St. Peter's","region1",2022
"198",1,"Baylor",8,"UNC",86,93,"UNC","region1",2022
"199",5,"Saint Mary's",4,"UCLA",56,72,"UCLA","region1",2022
"200",6,"Texas",3,"Purdue",71,81,"Purdue","region1",2022
"201",7,"Murray State",15,"St. Peter's",60,70,"St. Peter's","region1",2022
"202",8,"UNC",4,"UCLA",73,66,"UNC","region1",2022
"203",3,"Purdue",15,"St. Peter's",64,67,"St. Peter's","region1",2022
"204",8,"UNC",15,"St. Peter's",69,49,"UNC","region1",2022
"205",1,"Kansas",16,"Texas Southern",83,56,"Kansas","region2",2022
"206",8,"San Diego State",9,"Creighton",69,72,"Creighton","region2",2022
"207",5,"Iowa",12,"Richmond",63,67,"Richmond","region2",2022
"208",4,"Providence",13,"South Dakota State",66,57,"Providence","region2",2022
"209",6,"LSU",11,"Iowa State",54,59,"Iowa State","region2",2022
"210",3,"Wisconsin",14,"Colgate",67,60,"Wisconsin","region2",2022
"211",7,"USC",10,"Miami (FL)",66,68,"Miami (FL)","region2",2022
"212",2,"Auburn",15,"Jacksonville State",80,61,"Auburn","region2",2022
"213",1,"Kansas",9,"Creighton",79,72,"Kansas","region2",2022
"214",12,"Richmond",4,"Providence",51,79,"Providence","region2",2022
"215",11,"Iowa State",3,"Wisconsin",54,49,"Iowa State","region2",2022
