"","School","Conf","W","L","PPG","PPG_Allowed","Pace","MOV","SOS","OSRS","DSRS","Adj_ORtg","Adj_DRtg","year"
"57","Virginia Tech","ACC",19,15,74.9,71,68.1,3.94,7.97,7.19,4.72,116.44,98.58,2024
"58","Washington","Pac-12",17,15,80.6,77.1,72,3.47,8.38,12.02,-0.17,114.91,98.18,2024
"59","Utah State","MWC",28,7,79.7,71.3,69.3,8.31,5.29,9.2,2.36,115.37,98.68,2024
"60","Drake","MVC",28,7,79.9,70.4,68.4,9.54,1.84,8.12,2.96,115.2,99.18,2024
"61","Kansas State","Big 12",19,15,72.2,71.1,68.4,1.09,9.97,4.57,6.49,109.81,93.87,2024
"62","South Carolina","SEC",26,8,72.1,67.6,64.8,4.5,6.48,1.62,9.36,114.07,97.96,2024
"63","Maryland","Big Ten",16,17,69,65.9,66.3,3.15,7.44,0.07,10.53,107.55,92.75,2024
"64","Grand Canyon","WAC",30,5,79.1,67,69.8,12.09,-0.52,5.21,5.24,111.56,96.28,2024
"65","Virginia","ACC",23,11,62.9,59.8,61.2,3.15,7.31,-6.89,17.35,105.99,90.47,2024
"66","Southern Methodist","AAC",20,13,76.8,68.8,68.6,8,2.56,4.72,5.5,111.49,97.01,2024
"67","San Francisco","WCC",23,11,77.7,66.5,68.5,11.21,0.23,3.62,6.06,112.13,97.28,2024
"68","Miami (FL)","ACC",15,17,75.8,73.6,69.9,2.13,7.46,6.47,3.12,111.9,99.4,2024
"69","Florida State","ACC",17,16,76.5,76.3,72.2,0.24,9.27,7.57,1.94,110.92,97.59,2024
"70","Minnesota","Big Ten",19,15,75,71.9,67.7,3.12,6.4,4.99,4.52,113.09,99.91,2024
"71","Boston College","ACC",20,16,74.1,71.9,67.7,2.22,7.25,5.62,3.85,113.82,100.27,2024
"72","Bradley","MVC",23,12,74.1,67.1,66.9,6.97,2.96,3.47,6.01,112.51,98.58,2024
"73","USC","Pac-12",15,18,74.1,74.3,69.7,-0.18,9.54,5.46,3.9,110.79,97.76,2024
"74","Penn State","Big Ten",16,17,75.1,73.4,70.2,1.7,7.52,6.5,2.72,111.19,98.1,2024
"75","Memphis","AAC",22,10,80.5,75.8,72,4.75,4.25,9.94,-0.95,112.77,100.09,2024
"76","VCU","A-10",24,14,71,66.7,66.2,4.29,4.41,0.79,7.91,109.46,96.6,2024
"77","Georgia","SEC",20,17,74.7,74.7,70.6,0,8.63,4.45,4.19,108.87,96.46,2024
"78","Syracuse","ACC",20,12,76.3,75.6,72.1,0.69,9.4,6.91,1.61,110.9,98.49,2024
"79","North Texas","AAC",19,15,69.2,63.8,63.2,5.41,4.28,-3.08,11.49,109.98,97.27,2024
"80","UNLV","MWC",21,13,73.6,68.9,66.2,4.71,6.25,3.28,5.1,112.89,100.24,2024
"81","Ole Miss","SEC",20,12,74.9,73.9,68.6,1.03,7.27,4.79,3.5,112.84,101.09,2024
"82","James Madison","Sun Belt",32,4,83.2,69.6,71.6,13.58,-3.75,7.33,0.87,111.21,100.04,2024
"83","LSU","SEC",17,16,76.4,75,70.7,1.39,6.75,6.57,1.57,111.04,99.45,2024
"84","Indiana","Big Ten",19,14,72.3,74.3,69.4,-2,9.74,3.98,3.76,110.01,98.89,2024
"85","Richmond","A-10",23,10,71.9,66.3,67.4,5.58,2.09,0.46,7.2,107.87,96.9,2024
"86","UMass","A-10",20,11,77.5,70.7,69.2,6.71,0.88,5.34,2.25,111.26,100.62,2024
"87","UCLA","Pac-12",16,17,66,65.5,64.8,0.52,7.84,-3.73,11.23,107.73,96.87,2024
"88","Rutgers","Big Ten",15,17,65.4,66.5,68.6,-1.16,8.57,-3.23,10.64,100.21,89.86,2024
"89","South Florida","AAC",25,8,75.7,69.3,69,6.39,0.97,3.37,4,110.22,99.61,2024
"90","Duquesne","A-10",25,12,70.6,66.7,66.9,3.89,4.68,-0.49,7.84,107.08,96.48,2024
"91","Stanford","Pac-12",14,18,76.3,76.5,70.9,-0.13,7.48,6.97,0.39,110.95,101.1,2024
"92","UC-Irvine","Big West",24,10,77.6,68.3,69.7,9.35,-0.93,3.49,3.4,108.65,99.11,2024
