"","seed1","team1","seed2","team2","score1","score2","winner","region","year","Conf_team1","W_team1","L_team1","PPG_team1","PPG_Allowed_team1","Pace_team1","MOV_team1","SOS_team1","OSRS_team1","DSRS_team1","Adj_ORtg_team1","Adj_DRtg_team1","Conf_team2","W_team2","L_team2","PPG_team2","PPG_Allowed_team2","Pace_team2","MOV_team2","SOS_team2","OSRS_team2","DSRS_team2","Adj_ORtg_team2","Adj_DRtg_team2"
"24",1,"Houston",8,"Gonzaga",81,76,"Houston","region2",2025,"Big 12",35,5,73.7,58.7,62.4,15,13.45,7.21,21.24,125.2,82.34,"WCC",26,9,86.4,69.9,70.4,16.49,7.27,17.63,6.12,125.62,92.5
"25",12,"McNeese State",4,"Purdue",62,76,"Purdue","region2",2025,"Southland",28,7,76.6,64.5,66.4,12.11,-1.05,2.28,6.85,113.96,100.18,"Big Ten",24,12,77.3,70.4,66.2,6.89,13.91,10.37,10.42,126.13,96.17
"26",6,"Illinois",3,"Kentucky",75,84,"Kentucky","region2",2025,"Big Ten",22,13,83.6,74.8,72.3,8.8,12.79,16.78,4.82,123.34,93.45,"SEC",24,12,84.4,77.2,72.2,7.22,14.04,17.1,4.17,125.51,95.84
"27",7,"UCLA",2,"Tennessee",58,67,"Tennessee","region2",2025,"Big Ten",23,11,74.2,65.2,66.2,8.97,10.71,5.7,13.98,119.73,91.3,"SEC",30,8,74,63.1,64.9,10.95,13.25,6.08,18.11,121.32,86.15
"28",1,"Houston",4,"Purdue",62,60,"Houston","region2",2025,"Big 12",35,5,73.7,58.7,62.4,15,13.45,7.21,21.24,125.2,82.34,"Big Ten",24,12,77.3,70.4,66.2,6.89,13.91,10.37,10.42,126.13,96.17
"29",3,"Kentucky",2,"Tennessee",65,78,"Tennessee","region2",2025,"SEC",24,12,84.4,77.2,72.2,7.22,14.04,17.1,4.17,125.51,95.84,"SEC",30,8,74,63.1,64.9,10.95,13.25,6.08,18.11,121.32,86.15
"30",1,"Houston",2,"Tennessee",69,50,"Houston","region2",2025,"Big 12",35,5,73.7,58.7,62.4,15,13.45,7.21,21.24,125.2,82.34,"SEC",30,8,74,63.1,64.9,10.95,13.25,6.08,18.11,121.32,86.15
"31",1,"Auburn",16,"Alabama State",83,63,"Auburn","region3",2025,"SEC",32,6,83,69.4,69.2,13.55,15.13,16.94,11.74,129.16,88.83,"SWAC",20,16,73.1,72.4,69.5,0.64,-8.19,-4.67,-4.32,98.89,111.24
"32",8,"Louisville",9,"Creighton",75,89,"Creighton","region3",2025,"ACC",27,8,78.5,69.5,69,9,9.49,10.55,7.95,119.47,93.35,"Big East",25,11,75.5,70,67.7,5.44,11.04,8.48,8.01,119.56,95.8
"33",5,"Michigan",12,"UC-San Diego",68,65,"Michigan","region3",2025,"Big Ten",27,10,78,71.5,70.7,6.51,13.69,11.75,8.46,118.12,90.04,"Big West",30,5,79.3,61.8,67.4,17.54,-1.92,3.54,9.09,114.19,95.59
"34",4,"Texas A&M",13,"Yale",80,71,"Texas A&M","region3",2025,"SEC",23,11,74.6,68.7,67.8,5.91,13.39,7.4,11.91,118.02,90.01,"Ivy",22,8,81.3,70.1,69,11.23,-3.1,5.25,1.41,113.8,104.15
"35",6,"Ole Miss",11,"UNC",71,64,"Ole Miss","region3",2025,"SEC",24,12,77.2,71.7,69.2,5.47,12.8,9.84,8.44,119.39,93.31,"ACC",23,14,80.7,74.7,70.7,6.05,11.22,13.93,3.35,120.67,96.23
"36",3,"Iowa State",14,"Lipscomb",82,55,"Iowa State","region3",2025,"Big 12",25,10,80.3,68.3,69.4,12,10.33,12.28,10.06,121.32,89.7,"A-Sun",25,10,78.6,67.7,68,10.89,-4.43,0.5,3.89,110.84,103.94
"37",7,"Marquette",10,"New Mexico",66,75,"New Mexico","region3",2025,"Big East",23,11,76.6,68.7,68.1,7.82,10.37,9.22,8.97,119.1,93.25,"MWC",27,8,80.5,70.6,72.8,9.91,6.52,11.21,3.99,113.6,92.88
"38",2,"Michigan State",15,"Bryant",87,62,"Michigan State","region3",2025,"Big Ten",30,7,77.7,67.1,69,10.54,11.89,9.44,12.99,120.53,88.79,"AmEast",23,12,81.8,74.2,73.4,7.54,-6.93,3.83,-5.81,103.56,106.56
"39",1,"Auburn",9,"Creighton",82,70,"Auburn","region3",2025,"SEC",32,6,83,69.4,69.2,13.55,15.13,16.94,11.74,129.16,88.83,"Big East",25,11,75.5,70,67.7,5.44,11.04,8.48,8.01,119.56,95.8
"40",5,"Michigan",4,"Texas A&M",91,79,"Michigan","region3",2025,"Big Ten",27,10,78,71.5,70.7,6.51,13.69,11.75,8.46,118.12,90.04,"SEC",23,11,74.6,68.7,67.8,5.91,13.39,7.4,11.91,118.02,90.01
"41",6,"Ole Miss",3,"Iowa State",91,78,"Ole Miss","region3",2025,"SEC",24,12,77.2,71.7,69.2,5.47,12.8,9.84,8.44,119.39,93.31,"Big 12",25,10,80.3,68.3,69.4,12,10.33,12.28,10.06,121.32,89.7
"42",10,"New Mexico",2,"Michigan State",63,71,"Michigan State","region3",2025,"MWC",27,8,80.5,70.6,72.8,9.91,6.52,11.21,3.99,113.6,92.88,"Big Ten",30,7,77.7,67.1,69,10.54,11.89,9.44,12.99,120.53,88.79
"43",1,"Auburn",5,"Michigan",78,65,"Auburn","region3",2025,"SEC",32,6,83,69.4,69.2,13.55,15.13,16.94,11.74,129.16,88.83,"Big Ten",27,10,78,71.5,70.7,6.51,13.69,11.75,8.46,118.12,90.04
"44",6,"Ole Miss",2,"Michigan State",70,73,"Michigan State","region3",2025,"SEC",24,12,77.2,71.7,69.2,5.47,12.8,9.84,8.44,119.39,93.31,"Big Ten",30,7,77.7,67.1,69,10.54,11.89,9.44,12.99,120.53,88.79
"45",1,"Auburn",2,"Michigan State",70,64,"Auburn","region3",2025,"SEC",32,6,83,69.4,69.2,13.55,15.13,16.94,11.74,129.16,88.83,"Big Ten",30,7,77.7,67.1,69,10.54,11.89,9.44,12.99,120.53,88.79
"46",1,"Florida",16,"Norfolk State",95,69,"Florida","region4",2025,"SEC",36,4,84.8,69.6,70.6,15.18,12.6,17.7,10.08,128.46,89.36,"MEAC",24,11,77,69.7,68.2,7.31,-6.65,-1.67,-2.05,105.27,110.61
"47",8,"UConn",9,"Oklahoma",67,59,"UConn","region4",2025,"Big East",24,11,77,68,64.6,9,8.87,8.31,9.56,123.14,97.36,"SEC",20,14,78.3,74.6,69.9,3.65,11.22,9.95,4.92,119.8,98.64
"48",5,"Memphis",12,"Colorado State",70,78,"Colorado State","region4",2025,"AAC",29,6,79.9,73.4,71.2,6.49,5.66,9.16,2.99,114.34,97.25,"MWC",26,10,75.2,67.3,66.3,7.89,6.05,5.99,7.95,117.67,97.14
"49",4,"Maryland",13,"Grand Canyon",81,49,"Maryland","region4",2025,"Big Ten",27,9,81.1,67.2,70.4,13.92,9.41,12.14,11.19,120.98,88.78,"WAC",26,8,78.3,69.5,72.5,8.79,-2.63,4.5,0.47,106.84,100.59
"50",6,"Missouri",11,"Drake",57,67,"Drake","region4",2025,"SEC",22,12,83.6,73.6,69.8,10,9.49,14.6,4.89,125.6,98.08,"MVC",31,4,69.8,58.9,60.2,10.91,1.27,-4.55,14.15,114.41,98.32
"51",3,"Texas Tech",14,"UNC Wilmington",82,72,"Texas Tech","region4",2025,"Big 12",28,9,80.9,68.5,66.5,12.43,10.62,13.62,9.44,127.41,93.63,"CAA",27,8,79.2,70.3,67.4,8.91,-3.95,1.25,1.11,110.81,106.99
"52",7,"Kansas",10,"Arkansas",72,79,"Arkansas","region4",2025,"Big 12",21,13,76.1,69.6,69.2,6.53,13.56,9.59,10.5,118,88.99,"SEC",22,14,76.8,71.4,70.3,5.39,11.7,8.84,8.25,115.46,91.78
"53",2,"St. John's (NY)",15,"Omaha",83,53,"St. John's (NY)","region4",2025,"Big East",31,5,78.5,65.8,70.1,12.69,8.56,10.1,11.15,115.33,85.44,"Summit",22,13,77.3,75.3,69.1,2.09,-2.43,1.57,-3.17,108.53,110.83
"54",1,"Florida",8,"UConn",77,75,"Florida","region4",2025,"SEC",36,4,84.8,69.6,70.6,15.18,12.6,17.7,10.08,128.46,89.36,"Big East",24,11,77,68,64.6,9,8.87,8.31,9.56,123.14,97.36
"55",12,"Colorado State",4,"Maryland",71,72,"Maryland","region4",2025,"MWC",26,10,75.2,67.3,66.3,7.89,6.05,5.99,7.95,117.67,97.14,"Big Ten",27,9,81.1,67.2,70.4,13.92,9.41,12.14,11.19,120.98,88.78
"56",11,"Drake",3,"Texas Tech",64,77,"Texas Tech","region4",2025,"MVC",31,4,69.8,58.9,60.2,10.91,1.27,-4.55,14.15,114.41,98.32,"Big 12",28,9,80.9,68.5,66.5,12.43,10.62,13.62,9.44,127.41,93.63
"57",10,"Arkansas",2,"St. John's (NY)",75,66,"Arkansas","region4",2025,"SEC",22,14,76.8,71.4,70.3,5.39,11.7,8.84,8.25,115.46,91.78,"Big East",31,5,78.5,65.8,70.1,12.69,8.56,10.1,11.15,115.33,85.44
"58",1,"Florida",4,"Maryland",87,71,"Florida","region4",2025,"SEC",36,4,84.8,69.6,70.6,15.18,12.6,17.7,10.08,128.46,89.36,"Big Ten",27,9,81.1,67.2,70.4,13.92,9.41,12.14,11.19,120.98,88.78
"59",3,"Texas Tech",10,"Arkansas",85,83,"Texas Tech","region4",2025,"Big 12",28,9,80.9,68.5,66.5,12.43,10.62,13.62,9.44,127.41,93.63,"SEC",22,14,76.8,71.4,70.3,5.39,11.7,8.84,8.25,115.46,91.78
"60",1,"Florida",3,"Texas Tech",84,79,"Florida","region4",2025,"SEC",36,4,84.8,69.6,70.6,15.18,12.6,17.7,10.08,128.46,89.36,"Big 12",28,9,80.9,68.5,66.5,12.43,10.62,13.62,9.44,127.41,93.63
"61",1,"Duke",1,"Houston",67,70,"Houston","final four",2025,"ACC",35,4,83.2,62.8,66.6,20.46,10.26,14.77,15.95,131.42,86.6,"Big 12",35,5,73.7,58.7,62.4,15,13.45,7.21,21.24,125.2,82.34
"62",1,"Auburn",1,"Florida",73,79,"Florida","final four",2025,"SEC",32,6,83,69.4,69.2,13.55,15.13,16.94,11.74,129.16,88.83,"SEC",36,4,84.8,69.6,70.6,15.18,12.6,17.7,10.08,128.46,89.36
"63",1,"Houston",1,"Florida",63,65,"Florida","championship",2025,"Big 12",35,5,73.7,58.7,62.4,15,13.45,7.21,21.24,125.2,82.34,"SEC",36,4,84.8,69.6,70.6,15.18,12.6,17.7,10.08,128.46,89.36
"64",1,"UConn",16,"Stetson",91,52,"UConn","region1",2024,"Big East",37,3,81.4,63.4,66,18,8.7,12.04,14.67,127.65,89.05,"A-Sun",22,13,76.8,73.3,67.5,3.46,-3.24,-0.77,-4.31,107.27,114.59
"65",8,"Florida Atlantic",9,"Northwestern",65,77,"Northwestern","region1",2024,"AAC",25,9,82,73.4,69.1,8.65,4.61,11.07,2.19,118.32,99.36,"Big Ten",22,12,73.3,69.1,64.8,4.26,8.5,4.74,8.03,116.38,97.73
"66",5,"San Diego State",12,"UAB",69,65,"San Diego State","region1",2024,"MWC",26,11,74.1,66.7,67,7.43,8.37,4.78,9.9,113.41,92.17,"AAC",23,12,77.5,75.1,68.7,2.4,3.73,5.85,-0.71,111.8,104.45
"67",4,"Auburn",13,"Yale",76,78,"Yale","region1",2024,"SEC",27,8,83.1,68.3,70.9,14.8,7.66,13.48,8.98,121.57,90.09,"Ivy",23,10,74.7,67.5,66.1,7.24,0.41,0.18,4.45,108.51,101.46
"68",6,"BYU",11,"Duquesne",67,71,"Duquesne","region1",2024,"Big 12",23,11,81.4,69.9,69.9,11.47,7.86,13.05,6.28,121.51,94.14,"A-10",25,12,70.6,66.7,66.9,3.89,4.68,-0.49,7.84,107.08,96.48
"69",3,"Illinois",14,"Morehead State",85,69,"Illinois","region1",2024,"Big Ten",29,9,83.4,73.3,70.1,10.03,9.54,16.22,3.34,124.46,96.86,"OVC",26,9,75.3,63.4,66.2,11.86,-5.52,-3.49,4.01,106.08,104.04
"70",7,"Washington State",10,"Drake",66,61,"Washington State","region1",2024,"Pac-12",25,10,73.5,66.7,66.4,6.83,7.19,3.38,10.63,114.4,94.35,"MVC",28,7,79.9,70.4,68.4,9.54,1.84,8.12,2.96,115.2,99.18
"71",2,"Iowa State",15,"South Dakota State",82,65,"Iowa State","region1",2024,"Big 12",29,8,75.3,61.5,67.9,13.78,8.51,7.34,14.96,116.88,84.75,"Summit",22,13,76.4,71.1,68.6,5.29,-2.7,1.36,-0.84,107.29,105.79
"72",1,"UConn",9,"Northwestern",75,58,"UConn","region1",2024,"Big East",37,3,81.4,63.4,66,18,8.7,12.04,14.67,127.65,89.05,"Big Ten",22,12,73.3,69.1,64.8,4.26,8.5,4.74,8.03,116.38,97.73
"73",5,"San Diego State",13,"Yale",85,57,"San Diego State","region1",2024,"MWC",26,11,74.1,66.7,67,7.43,8.37,4.78,9.9,113.41,92.17,"Ivy",23,10,74.7,67.5,66.1,7.24,0.41,0.18,4.45,108.51,101.46
"74",11,"Duquesne",3,"Illinois",63,89,"Illinois","region1",2024,"A-10",25,12,70.6,66.7,66.9,3.89,4.68,-0.49,7.84,107.08,96.48,"Big Ten",29,9,83.4,73.3,70.1,10.03,9.54,16.22,3.34,124.46,96.86
"75",7,"Washington State",2,"Iowa State",56,67,"Iowa State","region1",2024,"Pac-12",25,10,73.5,66.7,66.4,6.83,7.19,3.38,10.63,114.4,94.35,"Big 12",29,8,75.3,61.5,67.9,13.78,8.51,7.34,14.96,116.88,84.75
"76",1,"UConn",5,"San Diego State",82,52,"UConn","region1",2024,"Big East",37,3,81.4,63.4,66,18,8.7,12.04,14.67,127.65,89.05,"MWC",26,11,74.1,66.7,67,7.43,8.37,4.78,9.9,113.41,92.17
"77",3,"Illinois",2,"Iowa State",72,69,"Illinois","region1",2024,"Big Ten",29,9,83.4,73.3,70.1,10.03,9.54,16.22,3.34,124.46,96.86,"Big 12",29,8,75.3,61.5,67.9,13.78,8.51,7.34,14.96,116.88,84.75
"78",1,"UConn",3,"Illinois",77,52,"UConn","region1",2024,"Big East",37,3,81.4,63.4,66,18,8.7,12.04,14.67,127.65,89.05,"Big Ten",29,9,83.4,73.3,70.1,10.03,9.54,16.22,3.34,124.46,96.86
"79",1,"Purdue",16,"Grambling",78,50,"Purdue","region2",2024,"Big Ten",34,5,82.3,69,68.3,13.33,11.6,14.65,10.29,126.62,91.31,"SWAC",21,15,67.7,69.6,66.9,-1.94,-5.48,-9.44,-0.19,96.11,109.64
"80",8,"Utah State",9,"TCU",88,72,"Utah State","region2",2024,"MWC",28,7,79.7,71.3,69.3,8.31,5.29,9.2,2.36,115.37,98.68,"Big 12",21,13,79,71.7,70.6,7.29,7.32,10.56,4.06,114.88,94.91
"81",5,"Gonzaga",12,"McNeese State",86,65,"Gonzaga","region2",2024,"WCC",27,8,84.5,69.1,69.8,15.4,4.02,12.87,5.06,122.62,97.22,"Southland",30,4,80,62.2,67.6,17.74,-6.81,1.46,4.96,113.18,102.58
"82",4,"Kansas",13,"Samford",93,89,"Kansas","region2",2024,"Big 12",23,11,75.6,69.9,69.9,5.68,11.32,8.37,7.99,115.37,92.19,"Southern",29,6,86.1,74.5,74.4,11.57,-3.23,10.58,-4.26,112.06,104.02
"83",6,"South Carolina",11,"Oregon",73,87,"Oregon","region2",2024,"SEC",26,8,72.1,67.6,64.8,4.5,6.48,1.62,9.36,114.07,97.96,"Pac-12",24,12,75.6,72.3,68.3,3.31,8.91,6.7,5.52,115.32,97.8
"84",3,"Creighton",14,"Akron",77,60,"Creighton","region2",2024,"Big East",25,10,80.4,69.9,67.6,10.54,9.53,12.41,7.66,122.98,94.05,"MAC",24,11,73.6,66.2,66.9,7.46,-2.08,-2.24,5,105.6,101.54
"85",7,"Texas",10,"Colorado State",56,44,"Texas","region2",2024,"Big 12",21,13,75.4,68.9,68.2,6.5,9.41,7.62,8.28,116.41,93.36,"MWC",25,11,75.2,67.3,66.7,7.92,7.28,4.71,8.69,115.56,96.01
"86",2,"Tennessee",15,"St. Peter's",83,49,"Tennessee","region2",2024,"SEC",27,9,78.8,67.4,70.3,11.39,10.42,9.93,11.88,117.86,87.09,"MAAC",19,14,64.8,64,65.4,0.82,-5.33,-10.24,5.67,95.85,102.2
"87",1,"Purdue",8,"Utah State",106,67,"Purdue","region2",2024,"Big Ten",34,5,82.3,69,68.3,13.33,11.6,14.65,10.29,126.62,91.31,"MWC",28,7,79.7,71.3,69.3,8.31,5.29,9.2,2.36,115.37,98.68
"88",5,"Gonzaga",4,"Kansas",89,68,"Gonzaga","region2",2024,"WCC",27,8,84.5,69.1,69.8,15.4,4.02,12.87,5.06,122.62,97.22,"Big 12",23,11,75.6,69.9,69.9,5.68,11.32,8.37,7.99,115.37,92.19
"89",11,"Oregon",3,"Creighton",73,86,"Creighton","region2",2024,"Pac-12",24,12,75.6,72.3,68.3,3.31,8.91,6.7,5.52,115.32,97.8,"Big East",25,10,80.4,69.9,67.6,10.54,9.53,12.41,7.66,122.98,94.05
"90",7,"Texas",2,"Tennessee",58,62,"Tennessee","region2",2024,"Big 12",21,13,75.4,68.9,68.2,6.5,9.41,7.62,8.28,116.41,93.36,"SEC",27,9,78.8,67.4,70.3,11.39,10.42,9.93,11.88,117.86,87.09
"91",1,"Purdue",5,"Gonzaga",80,68,"Purdue","region2",2024,"Big Ten",34,5,82.3,69,68.3,13.33,11.6,14.65,10.29,126.62,91.31,"WCC",27,8,84.5,69.1,69.8,15.4,4.02,12.87,5.06,122.62,97.22
"92",3,"Creighton",2,"Tennessee",75,82,"Tennessee","region2",2024,"Big East",25,10,80.4,69.9,67.6,10.54,9.53,12.41,7.66,122.98,94.05,"SEC",27,9,78.8,67.4,70.3,11.39,10.42,9.93,11.88,117.86,87.09
"93",1,"Purdue",2,"Tennessee",72,66,"Purdue","region2",2024,"Big Ten",34,5,82.3,69,68.3,13.33,11.6,14.65,10.29,126.62,91.31,"SEC",27,9,78.8,67.4,70.3,11.39,10.42,9.93,11.88,117.86,87.09
"94",1,"Houston",16,"Longwood",86,46,"Houston","region3",2024,"Big 12",32,5,73.5,57.6,64.1,15.89,9.8,6.19,19.5,120.4,81.96,"Big South",21,14,74.7,68.5,67.9,6.26,-4.76,-2.59,0.55,103.26,106.03
"95",8,"Nebraska",9,"Texas A&M",83,98,"Texas A&M","region3",2024,"Big Ten",23,11,77.7,70.9,69.4,6.82,7.53,9.11,5.24,115.91,95.53,"SEC",21,15,76,72,67.8,4.03,9.32,6.79,6.56,116.92,97.32
"96",5,"Wisconsin",12,"James Madison",61,72,"James Madison","region3",2024,"Big Ten",22,14,74.7,70,66,4.67,11.35,7.97,8.05,120.15,96.34,"Sun Belt",32,4,83.2,69.6,71.6,13.58,-3.75,7.33,0.87,111.21,100.04
"97",4,"Duke",13,"Vermont",64,47,"Duke","region3",2024,"ACC",27,9,78.6,66.3,67.1,12.31,8.36,10.4,10.27,122.91,92.47,"AmEast",28,7,71.6,63,65.4,8.6,-3.31,-5.3,8.08,104.97,100.48
"98",6,"Texas Tech",11,"NC State",67,80,"NC State","region3",2024,"Big 12",23,11,75.3,69.6,67.2,5.68,9.28,7.52,7.44,118.26,96.41,"ACC",26,15,75.6,71.8,68.5,3.88,8.93,7.53,5.28,114.96,96.71
"99",3,"Kentucky",14,"Oakland",76,80,"Oakland","region3",2024,"SEC",23,10,89,79.7,73.9,9.33,7.46,19.16,-2.37,122.17,99.28,"Horizon",24,12,76.4,73.2,68,3.25,-1.24,1.43,0.58,108.08,105.28
"100",7,"Florida",10,"Colorado",100,102,"Colorado","region3",2024,"SEC",24,12,85.6,79.2,73.1,6.36,8.81,16.32,-1.15,119.81,98.89,"Pac-12",26,11,79.3,71.7,69,7.59,8.36,10.09,5.86,118.9,96.38
"101",2,"Marquette",15,"Western Kentucky",87,69,"Marquette","region3",2024,"Big East",27,10,78.1,69.8,69.4,8.24,11.02,11.1,8.16,119.62,92.61,"CUSA",22,12,80.2,74.4,76,5.79,-2.91,5.91,-4.72,103.19,101.76
"102",1,"Houston",9,"Texas A&M",100,95,"Houston","region3",2024,"Big 12",32,5,73.5,57.6,64.1,15.89,9.8,6.19,19.5,120.4,81.96,"SEC",21,15,76,72,67.8,4.03,9.32,6.79,6.56,116.92,97.32
"103",12,"James Madison",4,"Duke",55,93,"Duke","region3",2024,"Sun Belt",32,4,83.2,69.6,71.6,13.58,-3.75,7.33,0.87,111.21,100.04,"ACC",27,9,78.6,66.3,67.1,12.31,8.36,10.4,10.27,122.91,92.47
